"","Hela-C-1","Hela-C-2","Hela-C-3","Hela-C-4","Hela-d-1","Hela-d-2","Hela-d-3","Hela-d-4"
"HIST1H2BJ",20.8773154049914,20.6414508804646,22.5967848541283,12.1309250302094,19.5108415242737,18.0549286483108,16.8258299226921,13.1201646726446
"KLHL31",11.3876265845408,10.6766125243783,11.2983924270642,2.02182083836823,5.05836632110799,2.31473444209113,5.00227376080036,4.85932024912763
"RREB1",328.343233187593,260.50934559483,294.699735805924,297.20766324013,334.574800953285,312.026202793884,336.516598453843,313.426156068732
"ATXN1",107.549806631774,129.542898629123,110.159326163876,122.657130861006,59.2551483329792,59.257201717533,59.5725329695316,63.657095263572
"LRRFIP1",472.586503258443,431.335145984882,470.766351127674,437.387241366994,415.508662091013,364.802148073562,356.070941336971,410.126629026372
"RAB17",11.3876265845408,17.0825800390052,11.2983924270642,14.8266861480337,15.8977227234822,15.7401942062197,13.18781264211,11.6623685979063
"EREG",129.059767958129,127.407576124247,88.5040740120027,71.4376696223441,104.780445222951,90.2746432415541,65.0295588904047,75.3194638614783
"MYRF",7.59175105636053,18.506128375589,11.2983924270642,19.5442681042262,15.175098963324,9.72188465678275,14.5520691223283,9.71864049825526
"SH3TC1",31.6322960681689,39.1475792560536,37.6613080902139,45.1539987235571,44.8026731298136,36.1098572966216,50.9322419281492,38.3886299681083
"MT2A",74.0195727995151,103.919028570615,108.276260759365,98.3952808005871,101.889950182318,95.8300059025728,130.513869940882,95.2426768829016
"C16orf70",101.855993339504,116.019189431577,95.0948029277901,110.526205830796,96.1089601010517,81.0157054731896,84.5839017735334,79.2069200607804
"DOK4",79.0807401704222,86.124674363318,89.445606714258,74.8073710196245,65.7587621744038,74.0715021469162,75.943610732151,70.4601436123506
"CLYBL",18.9793776409013,24.912095890216,19.7721867473623,22.9139695015066,15.175098963324,18.0549286483108,13.18781264211,10.204572523168
"ABCC4",431.464518369823,456.247241875098,410.508258183332,376.058675936491,405.391929448797,360.17267918938,324.238290131878,355.702242236143
"EFNB2",12.0202725059042,13.5237091975458,9.41532702255347,13.4788055891215,7.94886136174112,6.94420332627339,5.91177808094588,7.77491239860421
"IRF1",25.9384827758985,27.0474183950916,20.7137194496176,26.9576111782431,1576.76504466537,1607.8145434765,1598.90859481583,1495.69877268148
"GRK4",5.6938132922704,5.69419334633507,12.2399251293195,6.73940279456076,7.94886136174112,6.94420332627339,5.45702592087312,5.34525227404039
"PPP1R12C",72.121635035425,73.3127393340641,83.7964105007259,86.9382960498339,59.9777720931375,67.590245709061,69.5770804911323,62.1992991888337
"PAX8",7.59175105636053,2.13532250487565,8.47379432029813,10.1091041918411,5.05836632110799,6.48125643785517,6.82128240109141,5.83118429895316
"PSD4",13.9182102699943,19.9296767121728,16.0060559383409,13.4788055891215,14.4524752031657,16.6660879830561,13.6425648021828,16.5216888470339
"SLC25A23",282.160080928066,274.033054792375,262.687623929242,334.94831888967,226.181236929543,234.714072428041,278.308321964529,219.155343235656
"PSPN",8.85704289908728,5.69419334633507,15.0645232360856,14.1527458685776,7.22623760158283,5.55536266101871,8.64029104138245,8.74677644842973
"TNFSF9",156.896188498118,155.166768687631,173.242017214984,194.768740762806,293.385246624263,272.212770389917,351.068667576171,275.037526100624
"CD70",77.8154483276954,79.718706848691,98.8609337368115,107.156504433516,133.685395629282,162.494357834797,169.167803547067,160.843500246125
"C3",421.342183628009,372.969664184947,323.88724957584,290.468260445569,2533.51890311494,2637.87137020705,2631.19599818099,2478.73925908
"SH2D3A",41.1219848886195,41.2829017609293,40.4859061969799,45.8279390030132,30.3501979266479,41.2022730692221,41.837198726694,34.9871057937189
"FOSB",2.53058368545351,6.40596751462696,3.76613080902139,8.76122363292899,7.22623760158283,3.24062821892758,9.54979536152797,5.83118429895316
"RTN2",43.0199226527097,53.3830626218913,52.7258313262995,55.9370431948543,31.7954454469645,37.9616448502946,44.5657116871305,34.9871057937189
"GPCPD1",61.999300293611,63.3479009779777,53.6673640285548,50.5455209592057,44.8026731298136,45.8317419534044,41.3824465666212,40.8182900926721
"TMX4",187.895838644923,188.620154597349,160.060559383409,155.006264274898,151.028365873081,134.254597641286,130.968622100955,124.398598377667
"STK35",146.773853756304,142.354833658377,146.879101551834,149.614742039249,129.349653068333,132.402810087613,144.611186903138,133.145374826097
"AP5S1",55.6728410799772,45.5535467706806,61.1996256465976,68.7419085045198,58.532524572821,47.6835295070773,54.5702592087312,46.6494743916253
"BMP2",1413.96363424715,1596.5094594787,1650.50682705362,1639.02275963718,1416.34256991024,1638.83198500052,1579.80900409277,1663.8312533013
"ZNF133",43.652568574073,32.7416117414267,32.0121118766818,46.5018792824693,45.5252968899719,41.2022730692221,28.6493860845839,40.3323580677593
"BFSP1",8.85704289908728,11.3883866926701,9.41532702255347,6.73940279456076,4.3357425609497,4.62946888418226,2.72851296043656,3.40152417438934
"TBC1D20",132.855643486309,136.660640312042,143.112970742813,163.767487907827,143.802128271498,168.512667384234,160.072760345612,153.06858784752
"FAM110A",10.7549806631774,8.54129001950261,13.1814578315749,13.4788055891215,13.7298514430074,8.7959908799463,15.9163256025466,15.0638927722957
