"","GSM372721","GSM372722","GSM372723","GSM372724","GSM372725","GSM372726","GSM372727","GSM372728","GSM372729","GSM372730","GSM372701","GSM372702","GSM372703","GSM372704","GSM372705","GSM372706","GSM372707","GSM372708","GSM372709","GSM372710"
"SP7",3.8558376109903,9.74737163999458,8.3961956102242,28.6138098718214,5.2544206372372,22.0142761919771,5.1183957741897,7.16277679079959,31.9080914678951,19.8623069817651,3.04408407052803,20.2568818665807,5.74924441408026,15.7422540239576,5.773405951446,17.9677565045631,5.98668516275714,5.34954778676165,10.476827091778,23.2807516978202
"LEAP2",147.36660469617,122.664142199561,142.515387613839,126.487584878668,161.246333302485,126.292786733286,165.797867890042,140.936355803943,176.525110951363,170.526470023148,122.596758991749,97.7622161184493,138.162412300394,109.287588485829,120.501955748599,109.793006143592,147.36660469617,113.571504817452,92.5262059130443,121.651530944024
"CTCFL",13.9672027005199,12.2575574979203,1.95350020243739,11.5667776351477,1.21350347945142,3.86955374589905,1.33789641333275,7.9343766862146,1.46619213171129,23.8458496337042,6.09962114324633,10.7076224319283,3.96052691661898,13.616363379859,11.2052286327568,5.77412149547318,1.4569897911097,9.58413526331705,4.2829579706095,3.28018119215528
"TVP23C",101.768578884983,110.995476326487,121.45821026933,100.850920110569,66.4315780548678,120.58409782141,102.211164924758,97.6716852178148,87.9894874925987,87.2872926995056,81.9696715952273,74.5227980973436,98.3369832702709,90.56325634659,63.2070576036917,119.502449338018,92.1926022627632,69.6048739111121,44.7794990728981,87.4922285687612
"GAPT",86.9636503945698,44.4034766385448,185.026363610267,78.0468098240811,72.6988213336145,70.7741662558997,38.5187110061812,26.8265278459472,20.6700251070036,39.9953256374243,112.862797658796,629.347678577076,104.275888190748,285.932353973883,87.5339099926524,125.692432130008,9.80634624580026,115.569182662724,117.765043916042,118.215649279592
"ERICH5",0.571105199696217,1.7024330859015,4.86179823858129,10.6683209189987,2.44961204394998,1.80214833794431,1.51713926044109,3.36981445697194,0.973171480192659,1.25097291535854,1.03676264588722,0.543456307048228,1.35892742055301,0.635074067586237,1.41194956910256,0.456775392919559,7.09102645212312,0.474776384843546,0.603980835032802,2.88236398724119
"CCDC185",0.805498946199036,14.9754420830076,2.28796925988173,22.8932021044593,10.5790588275267,17.5195503213769,19.1373309969527,3.8085045201166,13.6202600787575,13.7751120945234,9.49901695205027,0.981518993916098,1.37376478042027,3.05805592800314,0.998103220313077,3.00930017801637,10.7680780503901,4.47174133099674,6.42155169347538,2.47557560006308
"TSSK3",10.9398681064738,10.2913353284158,6.29845796196361,14.5341535098434,15.3867992813153,10.9180602591997,9.99071009665288,16.5502046719567,15.9794455879321,11.3709307073846,12.3367867251111,14.3513215540667,15.4889602331626,16.4119335201718,18.2504747154397,15.6111663305699,14.7365241153942,4.29281123677241,15.3852370533521,16.5020380542528
"WFDC6",19.492729720879,27.3074048807776,23.1366676235347,17.5123742521255,4.10626148691849,16.4804258816617,4.2190575930487,5.83628396618663,27.226548498967,18.0380165742163,8.81454684644554,2.3565830008072,15.4957094229308,3.0413735337102,7.95897324992253,2.51194128591272,29.7528455910616,12.18095171554,3.22493972510741,3.95759092111777
"TMEM266",37.8780908674584,48.4265022217377,28.3806219659419,31.327163342084,16.1242360377631,61.373003895914,49.3737009356959,35.7680880563104,34.0212257942773,33.6839889339738,25.6761374916507,35.0566358899813,21.8515519194973,38.1232148598948,34.7232430379354,34.9158995022069,24.4481468654918,37.4022124268113,25.7517376980644,40.2664031650285
"CALML6",10.6576735269655,5.16883253080479,9.53054328850052,4.05637596870626,5.85974331831962,20.4570664959809,2.3947771963986,21.3003333789409,3.42220643045048,9.31659587690435,2.18071440933311,3.19610738417577,3.37892216987946,2.49935051925595,2.45853141414459,12.741978547824,2.39923596625745,16.6902778542503,4.94770695755963,13.62907213623
"NLRP5",7.42945821396623,6.83470291224165,7.3706619305141,3.18957565025597,5.36698633226593,4.48006192671904,5.61675681377923,2.21705439851148,8.46818145917497,3.34747669699646,25.5945905500364,8.48592042278944,7.26254189910038,10.6491567177627,10.3953618423705,25.0207661401785,2.88677928715757,4.62849439166533,22.3858560931474,10.4174220031573
"CLEC4F",34.6849631845722,24.8928601830614,47.464370737753,29.9206144970936,6.13377974023632,43.7075920432257,35.1978076822925,30.7125857794922,16.9051112496863,15.147112183344,40.2826803022876,63.0843900100638,22.5526593185521,16.5626942337886,26.734470498061,40.3331761185874,40.5275197722318,26.7118192085117,28.9960472496853,19.1699695306874
