"","GSM119615","GSM119616","GSM119617","GSM119618","GSM119619","GSM119620","GSM119621","GSM119622","GSM119623","GSM119624","GSM119625","GSM119627","GSM238790","GSM238791","GSM238792","GSM238793","GSM238794","GSM238795","GSM238796","GSM238797","GSM238798"
"CTCFL",12.6905952868019,12.3377056427268,16.2682702691629,14.5784047549979,9.14275169607534,11.9267430815593,15.4183428806945,13.5607517634315,11.1661614717425,16.3737683577591,11.4546337177096,13.9820850465688,10.3243257154187,14.966040952004,13.908906701988,12.6223331905641,14.9846592428201,12.4117603259959,19.3624222487148,15.4777667440371,13.1779019428768
"TVP23C",53.079755765691,43.778773030615,75.4732645174727,69.5450862826962,34.27882570187,65.0892760404988,64.6500149299044,39.3265069742968,50.0351861919621,53.0397440235272,43.6424116471204,58.7772301066407,32.85859273767,101.28316992889,65.3143577161493,66.625965393873,96.1667635909977,90.4242242959596,100.416365632574,71.0200331564959,86.2753063842935
"FAM71A",231.296870753564,89.0674202283412,155.905253417567,129.922028853701,54.3188393851048,160.465683322794,158.511427864532,101.748730922119,86.3366683208939,142.792526903252,64.7037780018478,172.04231309821,56.8149309999282,121.922921732039,95.2427128999567,85.8439558007315,110.349241285959,108.738243456714,140.55150791567,107.282654389969,83.4993222883096
"GAPT",6.59246805300308,6.47938325411387,9.41833979572582,7.85257507286692,7.43834067841094,7.7145521467881,7.81791823759881,7.17693368578777,7.72798037799799,7.64844711346717,7.38871857915057,7.9495465921214,7.91912513433646,8.7872127017958,8.91761906749062,8.94816226757212,8.98094758174075,8.35569556661352,9.28774457360408,7.76390210921784,9.07819555841763
"CCDC185",12.8512192464238,9.73832851859013,15.2969347923895,15.3739609881653,9.3259775601144,9.83374651551534,11.8134088243089,12.446743896276,11.8421255812847,10.6935462011516,9.21996277059802,11.1002837621395,9.38525939287748,9.08171730274928,9.3967868657192,11.3241481380985,11.4132442545445,9.08240316757612,10.0999607255019,10.7355902175512,9.92191442128626
"TSSK3",71.800492824729,49.8958559962453,88.0924634611971,69.1685120886515,51.1887913327588,73.2415273391941,61.6727517933428,58.7518745760881,53.1429473924134,56.796121323951,49.6161331665066,71.2329764648838,43.6337054850879,83.9500552748097,71.7962856455598,74.0414367260136,70.9239655310111,69.1685120886515,75.3886189546069,76.8021820258848,64.2107307560001
"WFDC6",19.6994032776516,15.9986707224281,22.7000460710632,18.4061223987789,16.9562732076049,18.8134680053331,18.7404319144004,16.2251796054853,18.3277393136355,17.6430522046879,16.4811852129595,21.3613319519045,17.5782046655537,18.7058093383215,20.7349454333887,20.369751348957,20.369751348957,17.429338124283,18.628077400304,18.4061223987789,17.2374891062478
"TMEM266",78.0910441836068,98.7719008001629,97.4169516141478,126.350855317324,63.1780011036982,161.731532351944,59.780412210312,104.000371209475,119.578325934338,219.703042101666,84.8480402449363,171.480104619274,90.8657553086055,46.1643577511168,35.7319386982548,53.1258649706052,62.7400080336076,35.1727219794867,47.013952823516,46.1040387805534,36.4237173971987
"CALML6",11.7282224189164,11.4260359699142,14.0902187676807,12.7542549258132,11.546553205322,13.6778791136916,12.1692380159872,10.9850327589632,14.0302151018663,14.0020291872262,9.1496166603153,12.2912317622389,9.71551353051109,10.5520967123009,9.66771128819369,11.3103724290295,13.006691797223,11.3103724290295,10.9717324530937,10.7038132664982,9.36135646061233
"NLRP5",21.3615759543965,21.5361092084224,24.6358594803388,21.2774157236298,17.4214338977342,20.741651782144,30.4219219067734,21.0263748440611,26.7388383755661,22.2540564543369,16.8408525318226,26.0441121792439,13.0514875212722,28.4789104102103,27.6664810286648,21.8088727780196,25.1571292146325,22.0760897524524,25.9915356623152,30.9756023410779,22.2956235511812
"CLEC4F",22.5991605685245,16.0830082457896,17.9017250922022,16.9437256907874,13.7881276633333,19.0497491102915,22.0937706223493,18.6688537886791,18.2221727489394,25.3894253910045,15.1454329372693,20.3657945986478,17.4422291407825,26.4473768341587,20.8765546396789,24.1922670029589,25.9129568380505,20.1793917752487,26.6838857567975,25.7023480207238,22.7870446160314
"CALR3",11.2001285384152,8.25065767441458,9.38579298676332,10.1877448821508,9.13597134384799,9.93129444641091,8.54561462749669,7.68816790892481,8.54515041814914,9.32147177777865,8.5369686463663,10.4161960840923,8.70045172704267,9.46405878120608,9.05751917525601,10.1879003949896,11.0077186008623,9.54072229400702,12.3308621991519,9.64296130792181,9.68315581591475
"C10orf25",19.2283173192524,24.3833916179698,43.1536339472556,33.5809205550174,13.0944468590909,31.8672386897436,33.5809205550174,23.8573922761219,22.4758660288773,30.0373049902195,16.1601603985329,28.9107388692604,10.9879664114393,41.4413652344438,37.1964365212978,33.5809205550174,40.0873044118821,42.9128879095232,48.8992257323408,40.7732161164201,35.3230934541247
"ZNF485",7.29090148915494,8.76703238645758,7.69511491939469,9.26969425748253,6.85188199027669,8.68945193878304,9.41593264914656,9.57109159357707,8.10660664518367,12.3993313648613,9.66570072994626,10.6093557004076,8.65456976248457,7.64728902399364,6.92738202866256,6.59288318391203,6.81809615909246,7.0863729577254,6.74977163276811,8.24098155518526,7.03394672788636
