"","GSM492649","GSM525014","GSM525015","GSM525016","GSM492653","GSM492654","GSM492655","GSM492656","GSM533622","GSM533623","GSM533624","GSM533625","GSM533626","GSM533627","GSM533628","GSM533629","GSM533630"
"MAP7",251.001709027296,594.908023886233,551.279533860003,1009.83393294439,319.248129669195,224.740950400531,102.62041840435,585.360862832099,195.773749757452,305.102151326539,217.302039302687,120.331234664284,352.623358505191,117.582965218932,658.129050978432,403.848773046279,439.121750849737
"UNC13B",243.260481568,255.346673408919,225.475766513747,329.802857884716,348.512020163057,160.713804270699,283.915858652371,236.331604303502,596.961197221547,226.768432013421,250.44243914045,325.596156949746,217.466526915331,171.687132087727,305.998319752693,223.890274596805,355.446120762343
"ADGRE5",26.9134805889,64.2731116685925,51.0137007360388,82.2913710344413,39.6490084438394,27.9034313689426,33.1621383728423,40.6088398657998,34.4537623183136,39.9443323967896,53.6758995714247,36.6659196315754,52.0296783337022,68.0547392263665,41.8255635790563,32.7792268485139,47.2498545507814
"ADM",71.445959513698,126.127250362765,371.416780370801,259.714372263531,58.4794040318069,49.8907899413083,83.7359374362642,82.0436384273605,167.062397964356,68.1704416676143,212.268220522104,68.8441517117544,82.0436384273605,46.0644791964084,58.7858066414213,80.1111483408754,96.5953556097364
"MOB4",447.769893382739,1160.13456703224,1019.10956229355,819.989017306899,461.007921655629,537.890274596805,508.783172548631,531.739039314486,656.429805846721,411.360862832099,352.514740812167,488.381648758911,433.724295313085,515.061212996326,610.537867429153,508.783172548631,262.736833774418
"ANK2",286.954654185338,427.604003498823,454.018478372167,355.066579282682,492.236493552974,419.728715970445,387.473919576771,507.738921011129,411.603075947556,489.92624777222,342.806369315328,120.836584513202,434.552821232039,304.131690718773,632.831451067393,494.267465178399,393.082726279472
"PLAGL2",83.052880774135,77.6540273815823,54.0211573978577,81.981009680334,75.6085692689831,89.9859415423789,92.8450391983919,56.7104901083716,78.1723154249031,91.1977965094883,74.5955497953922,168.821064399972,67.2413921332556,75.744770071556,55.6699044980632,77.6540273815823,73.8743342440355
"PIN1",277.039281855795,593.951272518894,480.698680277967,452.564939711695,129.359232741219,246.041760159603,169.535888724818,229.015675399924,202.654754107915,238.478509890922,272.012123043848,257.491759686705,174.588897607964,245.655773594167,406.242326039473,253.974686569161,319.151539701444
"SUCLA2",508.943921086278,1157.49349163022,1181.56874219358,866.631348159846,290.06674518504,324.066745185041,280.470577773175,510.749526936498,446.066745185041,373.955400616024,569.631448031282,438.891084928723,433.288138678436,442.300545225446,694.906594782229,472.949098126217,256.464830195403
"ZMPSTE24",273.419686361511,676.683116099923,633.992202143582,919.419686361511,495.256937547736,595.317810752623,519.29430780883,548.32438541044,599.02079953821,563.950450984769,965.71059234535,1037.98978308096,425.103621877167,265.801628751947,443.537333420334,671.746409722456,324.397046776084
