"","GSM93938","GSM93939","GSM93941","GSM93943","GSM93944","GSM93946","GSM93948","GSM93950","GSM93952","GSM93954","GSM93789","GSM93920","GSM93921","GSM93922","GSM93923","GSM93924","GSM93925","GSM93926","GSM93927","GSM93928","GSM93929","GSM93932"
"GSC",7.30369172683525,7.76662115872095,8.29075438966362,7.57185024995301,8.76475596570463,7.40898447296579,9.62522584720844,8.79643738542141,8.53206740546703,7.80182580288652,11.8181896727658,6.08428518015586,9.4461721299646,6.7298089906356,6.84087554910766,6.91709994660346,8.39186364379501,8.27704863779431,6.949052717817,8.24523968839101,11.0283786389487,8.50885471588577
"SP7",5.63148980699882,6.25377399004657,5.6785246731682,6.3136617954269,6.03908922337222,5.74244816871644,5.99156406047416,5.41003047510519,4.92936889316618,5.7669952593911,5.98599899130722,5.89835975096298,5.98574014696497,7.37123411922719,5.69536567824577,5.31712187402186,5.90037352241661,4.9884016731245,4.96613884478796,6.79393163249995,7.06535051635039,5.6785246731682
"LEAP2",139.477213868901,62.5634573488192,80.6568815897441,54.238487210631,58.6603475223561,87.4296067329815,88.8575364699318,33.2313396302574,115.082367377807,51.9343679025237,10.7992710313187,81.5833279979623,73.8946273561542,51.3905276641423,69.4249782364039,17.1707827726661,12.4077690873593,22.6090673443602,52.7185814355813,115.574541953086,56.4180729046196,21.9016492243744
"CTCFL",4.89685581521702,5.70569966380628,5.64512356038036,4.84656448033141,5.23922086510742,4.30307948227149,5.08079249323788,5.07372387647927,5.79791824251691,5.27930186994821,6.31955761630675,5.10658236617272,6.66562758400458,5.00484887558919,5.00634982203511,5.4754608024888,4.90564411055496,5.50017875058474,5.54661304022126,4.53808901634106,5.16947436751105,5.4061584673585
"TVP23C",19.5450225267702,27.0613742530209,14.7423646884982,18.563228867057,17.7780302570248,20.5250631230002,22.5578988325377,20.6912022036998,22.7430098410713,15.4417498056422,19.5946736312369,19.5395188393473,21.0631296247087,26.328227170615,20.7021682437318,23.1374615778211,22.7724562146401,18.231031119075,25.9926341334492,19.4082811510819,26.4926342776172,24.5477013362657
"GAPT",6.30757879233881,11.5773172270644,5.668400674858,9.69030592714617,8.33710841229518,9.08439129644781,4.57260622682079,8.43986121573803,7.68461358302982,13.4825955171906,30.3184561328777,7.03307674019161,7.57573499781106,25.9032299814885,8.9075010268792,30.7992824051488,5.65110173962572,13.1668973503815,26.9124460774606,8.466802930474,9.73899825350883,7.96721422093172
"CCDC185",7.78702581361064,5.40055613550595,5.29477030553992,5.87629277787423,6.21755908853155,6.26084599499112,5.53413405020846,5.28039088252341,5.71138594284492,6.94224890205429,5.94052933533725,5.84456326873263,4.75537784793992,6.85349683160178,5.69312919017892,5.27442311979698,5.88965465569157,5.97756374188323,8.93145794073392,7.28978569528212,8.55400760964688,6.67156353273792
"TSSK3",28.8897280870368,29.24291573236,22.7639931732024,26.8311230705272,24.5176402531059,23.1961417730923,25.1924809682614,26.2880818735285,21.5096137922761,21.8534098198826,28.9353102065354,28.1385134361631,25.0992689439418,27.7380722577363,20.9745148775879,28.5220452450575,26.5486537824048,33.3128453315178,28.5292416598813,32.8221370372314,35.4544336407652,29.4082664533145
"WFDC6",5.12749747878944,5.99499342553617,5.40846486021767,5.82185389648719,5.68528309018864,5.10764656040719,6.52484722884879,5.4477293021692,7.68990127314457,5.87285216616458,6.38831112274415,5.6967435737068,6.82636221948091,5.83601682006397,5.27093676462119,6.69891430229489,6.54825373416578,5.93179660450441,5.99402088627482,6.64005602953682,4.84064967394409,7.35342789614867
"TMEM266",5.70729930145358,5.73067793571626,6.77573135313835,5.61187533074265,6.22669295296967,5.35807044607768,6.65297058046519,5.95372642942727,6.34238972581232,6.22188159901065,8.53894960563408,5.63741330850879,5.5447633804356,5.85160415088962,5.94306953542483,6.3453815503215,6.71832181490779,5.28853789651828,6.35706039887272,6.42113629558461,8.95588013053399,5.93395274723825
"CALML6",6.91953680895718,6.83027726060645,6.14072344235591,4.48853925089446,6.19432970203208,6.79760432541774,6.09698028026134,6.40470791219484,6.05065773184539,6.3652351285256,8.51971342755574,6.5141026861582,6.2867667612203,7.79227495904272,5.34645735822091,6.6972043487523,5.83343099929666,5.33753991329711,5.37263707510141,6.33494790115767,5.3735896738427,5.51446101789673
"NLRP5",6.59948548108751,5.80432943838176,5.9359413525921,7.28847243400656,7.10296737827192,5.54733551439014,7.31979474578442,6.27057856227858,6.10207636132031,6.02559439167688,7.85331846568192,5.77823367499896,6.60394349390744,6.96803537022656,6.71604175263545,6.9827316659427,7.07026704565389,6.16488100529895,7.00376386948511,6.66456404128358,7.49673864410966,7.39272013617109
"CLEC4F",7.30003616309475,7.33771004922733,8.10239815390656,6.35282568797082,6.68795940021896,10.839721948893,7.40614255165445,8.13289016360174,7.28382445827236,6.48290485686505,7.39832829455689,8.09754547338091,7.88705946256809,7.96408513449927,7.14787357169424,6.26608580241141,7.42004523757408,7.37692774540439,6.83597185582291,6.93564424894287,8.45487274637838,9.55461798651636
