"","GSM160402","GSM160407","GSM160409","GSM160411","GSM160415","GSM160423","GSM160425","GSM160426","GSM160372","GSM160386","GSM160387","GSM160403","GSM160408","GSM160410","GSM160412","GSM160416"
"SIRPG",51.1610854162496,59.8871367000757,44.5556072460305,42.5295661319766,51.6073756589967,45.4519157602647,66.4896505303913,58.8912554715059,43.2495269904649,56.6109278595583,50.5594807809174,47.9370905575937,47.9943419209303,49.6872205173729,43.7869249536548,58.0841413517472
"SNTG2",33.3333145571139,34.5788210887318,32.6079664891881,28.9876678112442,32.4189117503804,31.9631344855466,26.2934711475542,29.5901648885513,29.6668795826302,25.8705241236959,32.3524224287459,26.8998827430496,30.4222507546966,28.709071654173,32.8837034057984,26.6002721558216
"BCAS3",219.045586040856,223.19271152908,249.716720298292,215.160520144131,224.483066663967,203.755066282754,155.063971131074,171.30800587265,154.685576322065,280.95328973854,196.907437040488,193.754389729816,288.192216643596,251.835242018032,284.159252077239,200.162658472519
"HAMP",82.9405029341938,85.781019669113,72.6299492988058,110.607171022649,71.7440168097006,105.742150895377,247.524991053108,127.610778644354,86.3363672547841,115.0370694688,91.9345986982723,65.8607953952897,82.5036568639046,82.0486627243939,101.133316419885,102.091178049696
"OTOF",28.4320781091348,25.5737108756824,28.7194879171028,26.6366357641813,24.9476166710705,27.6440050207303,28.2078254400022,25.5281217616462,26.3876276651258,22.6100456586033,24.8347014727161,30.9471985928234,26.7118464820472,25.7004933383591,25.9999178074515,24.3685056299857
"DMRT1",19.49034118508,17.6350535102391,19.588105904706,18.7032455566768,18.7844566337533,18.1080767227126,17.1299169503753,21.5731097735645,18.8391099540564,17.7817229755752,19.4994531334435,18.017253742801,18.2855639384451,18.8568151697896,18.9852876734074,18.6288292948423
"TXNDC15",1583.88272382021,1659.59062809692,1969.82203212107,1019.00842591111,1318.49208166056,1845.65342854633,1230.73304187288,1413.20677934963,1829.31294754049,1104.20006870744,1132.13118687219,1446.55559280955,1622.71778225256,1613.34321964916,1585.71849030967,1136.65568734238
"CLEC1B",33.8930228932439,35.1844268315198,34.7133439546474,34.3347731605563,39.9542649408564,35.5775235044572,34.4770077052889,33.4286221085165,35.6273755091955,32.3601673795278,36.3943085952781,33.7684382279258,37.1321735399311,38.1950712796271,32.6303057158082,33.3331586357687
"ZNF214",16.525501442731,18.8468381575662,18.2824802285537,16.2365613467227,22.8694438288594,22.0895055726894,21.9958367242576,21.8861995660519,18.1828157606744,21.8568998718101,20.8707875775723,18.4421555706881,18.8985323941354,19.5557369108754,18.3687139719877,19.4368584163744
"ACTL7B",31.1293377882967,36.7090839638765,33.3925991258025,29.4587654566434,28.2852130944285,37.4001397010494,30.9555715699476,32.3345304494024,34.1307238221968,34.5998797368319,27.9586329011016,34.1423666262516,32.4867039470625,32.2580155468385,32.7933056290426,30.7062473377789
"FNDC8",42.8569400089575,38.9946716984534,36.8893668785213,34.2419431235639,38.7287370313191,33.721095663329,36.694503911201,37.9412490623147,33.3895912180954,34.3990175078713,35.5882624573184,35.7412156643636,37.1968336425359,36.156221355602,34.3945463051411,28.9399177070687
"ACTL7A",41.7574290582614,37.4427624850133,44.4513220607973,38.1818053836197,32.5967421213997,34.0472341627218,34.7347978307833,39.1703459048469,38.1299313165305,36.2867775240365,35.9399016794756,38.8196776432551,39.2065969244525,40.4728645850715,39.3221738850196,34.2903317046792
"KERA",18.7609364384532,19.2979987297746,17.5895704131585,19.1670411594937,18.8908396248111,18.7198124173963,21.4526175666224,19.6246402867468,19.3287354468544,18.5461804711041,19.5457752916368,18.2856198935817,20.0958396661827,17.7782563722927,19.3298475783061,19.3141694850803
"CDKN2A-DT",35.9741263232001,35.579370116301,38.8868110954332,31.4052524977724,40.2548891445132,30.4607427149628,35.5024696738554,30.7947081675744,39.5746005536497,34.0238675809008,34.1774459789157,35.3907154655978,34.4956413243285,30.7170835562679,35.1533885986064,38.1116160860474
"GUCY1B2",28.3006068010901,25.8523623529416,28.1727342597715,26.9260549533856,29.9016214821326,24.6216431132102,28.610295294638,25.9835827855874,30.7819389795165,31.0072779403734,27.62465752719,28.1759864959133,26.9131823106621,26.991563862575,24.9789008299163,32.8176479164717
"UPB1",38.576560514377,34.1308726534306,34.2168379020057,33.055320367513,38.0816232560714,31.7921931943044,51.1714869791024,36.2928091594125,33.055320367513,35.1026713378923,31.9166622806157,31.771103216285,32.3498130559775,31.3743899102945,33.643977743986,35.0268936842352
"CCT8L2",28.6813205698966,27.4444007979542,28.9709298016757,26.4007066538936,26.4041513821936,28.937928439252,32.6810510830059,32.3345304494024,28.8162306970001,28.9323322269843,28.0413659601892,28.5390079666856,28.3939868788556,28.6469610153009,28.4135965209426,28.1603467611277
"RHBG",89.1236200966534,93.2804910224445,108.859690093052,90.0255944689541,134.592918040818,99.0549087291126,104.425229907257,96.6879483988232,106.283862260559,96.3630786239581,99.685639189415,98.0666555937804,99.377550098237,89.1267972612672,94.1561906664374,93.3916918963808
"DUSP21",36.3656674506492,26.9733393838041,25.8060925878517,27.1668300701132,27.9514233091516,27.2082081944479,27.3649180659807,29.0028276697928,26.8578760842094,25.8097120886138,26.4735529264437,25.8620905691465,25.6279194057683,26.0985696981251,28.4159158096519,26.4592240000956
"ZSCAN2",75.0516930439624,69.3770796733471,62.9835427586417,55.2506253025825,63.5285686261098,72.1570915498878,72.2048872496313,76.8281905891435,77.8411570263653,60.2900748039412,64.1133443338457,72.4318537780748,69.656551270677,69.3282801515507,53.6690755355888,49.7725646406339
"ABI3BP",23.3815049511638,26.6794007458907,26.991563862575,24.5260853400644,36.908477790852,27.6564670917896,30.2397970583988,27.9350342361276,25.97597032259,29.8054307413784,29.5629439606137,22.6165715895536,24.6606722804301,26.6794007458907,23.6844378431084,28.2293682902807
"LIM2",31.4186882416525,31.3221525284227,33.2774479636818,28.8846900263541,32.8585615643621,29.3222335068987,31.9393067901639,28.7004380603524,30.5906833059179,30.296798843548,30.4202415565871,27.7919009649231,31.668291964882,32.2516490451083,29.5761716898344,30.0963299533133
"NUP62CL",27.6509693096339,26.232317451272,24.0585828338159,22.7517243485463,50.8181719046969,20.9817758010393,20.870453965767,25.1986362784466,27.7436817811245,35.8219411717581,21.7794245364354,22.4027542091144,27.8057392346861,22.6843061708276,23.1878600172651,25.4596546081419
"ATG16L1",109.272631695835,112.651722298801,71.3221096585828,75.020671686226,41.5115363543079,65.8250952204103,45.5949431186937,57.5807838514092,82.0803002671664,71.6235387445511,96.3425515992846,93.8998117127407,119.983736612546,159.22041631825,163.553076918567,48.4711253665854
"CRB1",29.0935886333302,28.1999291822481,30.8431883729087,29.3184012931789,33.299588490249,25.6747803005525,27.7814380186968,27.2850887125993,29.6364165056337,24.7624922060942,28.9169975572312,29.5432392551591,27.7573795839797,28.9127265556608,28.6057877620371,30.419595378465
"AUP1",767.724873668435,669.775589970598,881.848431000532,577.501492552029,851.808388243399,1066.42123954655,744.451791872881,863.038807758411,1143.18426209666,851.329986120032,716.513802124691,693.375682450858,617.182650470947,632.545541872881,676.786811417427,680.350079657819
"VNN3",44.3736910632405,42.3786166047112,44.6958793650191,44.3433543979241,40.4622163467421,44.9451993623547,43.8197585835387,42.6744676405432,44.4096376268774,37.632815633057,40.0651725553339,44.5572015612657,43.2842491141097,45.7446773334352,47.7367132290613,47.7973242756199
"TMEM176B",272.035228693478,406.119034593474,517.608041872881,700.545541872881,647.304412706901,333.56132354549,1360.15994484296,890.53185137694,221.483077394063,850.67054187288,2189.1896440562,468.013576410488,309.325765186098,154.758563110057,462.347622531628,748.875637440219
"FAM90A1",31.9472671668874,29.9244429913462,34.2130364297954,27.8299289590411,38.956258865797,36.064732582994,45.7538562906832,33.3447008128002,28.2862063885667,41.4273070393067,37.0149915666818,26.2379588291402,31.5290723041476,31.8354231553533,28.9065724148854,32.1589524170077
"VRTN",82.69810476334,81.174641826047,76.8878290139479,87.4834457566268,102.004374343552,101.87064479318,102.527296924415,103.422573521022,93.5382665996641,86.9051388824858,93.3276695891837,84.2066345526413,78.9722318081598,80.100266319992,83.9752172120214,73.6801418589338
"ADM2",103.622600202094,98.9912640227047,107.05172616843,104.864752622169,97.4583064248616,106.665379775355,88.8111694557767,111.128066659884,100.627956848125,101.2936945104,113.49162420581,100.662371792649,102.283881203821,109.139913078399,101.230610061044,88.5928981167819
"CFAP46",20.8744731958553,20.4904760161498,20.8794982668459,19.8147465952047,21.2892778982621,19.2078275977891,23.6935150433155,21.0977358749598,20.8794982668459,20.0565587769024,19.7471037069273,20.0172954018807,20.700462389045,19.9458271621601,20.4284182251289,21.3809112694964
"KCNK15",21.669876097967,19.7004263476353,21.9262902003817,21.4621849859104,23.3741188329436,17.4432354652791,22.3417566398231,22.3703206542769,23.6101465691949,21.9104242145626,21.1880496355167,21.2324822943794,21.2805973411598,21.4015244336138,20.7073672605862,24.0166707245612
"MMP26",90.7810390065951,86.2576274692539,30.7581301181906,25.6461837544024,28.1345768759623,51.4152645027738,21.9841874211981,36.1166355695684,77.6346393591035,24.423766566445,25.2678899976481,59.8938963850952,28.3010598399566,30.0332459431234,32.7737492053203,24.9563218469913
"BPIFA1",41.6188951162635,42.3430617659925,51.6927343415705,43.5579312373574,52.285942417876,40.4343838250772,38.1386368997139,37.6180067952712,45.0766190092926,49.0830315516385,41.687887845947,45.0862808163411,46.0040864875281,45.1420183112497,45.3885428808809,46.3653409000555
"C21orf62",38.1858827827622,30.2157932624178,30.7367108469762,43.2301541112261,36.1251471676368,39.1766464825861,41.3328533766507,33.7673544813152,37.0538603134732,30.6395568833607,30.7366995386773,34.5103950586321,31.8887958726858,34.1228803840085,35.2364504513694,34.7955263210632
"FAM35A",2238.24281875497,1928.67591102659,1896.04554187288,1330.74116070592,1073.10804187288,2462.57427242566,1799.23304187288,2227.61272193575,1192.03591253352,1480.8287528594,1736.73304187288,1788.13181204183,1709.19510222415,2063.98304187288,1987.16191102158,1287.67922606139
"PKDREJ",48.1267174091612,48.2869623195572,52.3020882118897,58.5481506894646,48.1848205369853,60.3710590291354,71.180204557288,50.9454358111659,52.4714819307151,53.4793318144426,47.781575516767,49.840823026554,54.2155566479297,51.5912896268106,52.5922140573476,44.6508256200059
"FBXO4",20.3222249290344,18.240049769056,18.3552402965736,18.1063289666221,19.3982086046693,17.9946729566178,18.5973818975647,17.2679812832199,19.6317440119317,16.827269201302,18.2871050917066,19.5384007012919,21.0567250111718,17.1768428481639,18.6232665563992,18.1315245524242
"SLC17A6",19.385932474231,18.6091604871048,18.5792647710985,19.2378113701448,20.4204230994845,20.1601756298007,23.3916535673491,19.2990354755716,18.8172386527554,18.588277917721,18.2626750703913,18.7848828477354,18.4955324955113,18.6069828001251,17.8772450148297,18.9537649797325
