"","GSM506013","GSM506014","GSM506019","GSM506020","GSM506023","GSM506015","GSM506016","GSM506017","GSM506018","GSM506021","GSM506022"
"ZDHHC14",117.125423136691,123.101665753491,42.2374490685309,36.1279301069194,111.50103180305,56.500552994556,41.3706499271245,146.382947803303,96.3697013041518,96.2063815235855,46.6020100042011
"THUMPD2",52.175773505638,47.7526869760692,75.7942304517088,120.346715679368,88.3980544472307,95.8937699303462,52.7407842800225,56.4548087097899,52.8592284824824,67.8193937753352,68.8748895698415
"FKBP10",11.7319994827689,27.5002628609851,9.02249457062188,10.0482530410368,5.36750069662263,40.5871471933199,13.1103787424088,7.64058687009598,31.0037691729457,9.72912877816879,37.3578868165297
"FLRT3",43.119721836404,34.8393724217371,28.7971329280073,57.1364419377231,49.5984697649762,38.01362081352,30.0096800707959,33.6473480680317,30.9299142840213,26.7582433807024,26.8728188900535
"WDR60",6.39513659716306,6.50824566930373,18.7640104612406,27.1630616288711,4.43057014567984,19.8887674400749,6.56430621999335,6.34078360313954,6.71017172941954,9.54200833586585,9.90371855688043
"GEMIN8",54.2711339259934,49.9745788831335,52.7360642385423,94.7177013664192,68.6088694012256,24.8359138740928,46.4910176592725,49.2616641980398,38.1797788161063,57.2562770842285,51.1085505292914
"TMEM185B",40.3449392077905,33.5828215689928,23.0051391863108,31.7055250935332,43.9954329896678,23.6997375754131,25.9681393108644,40.7646465239353,46.4480902776043,36.6056028886844,42.3997080568707
"IL17RB",152.727266333949,130.390385954419,110.17008384733,134.044237295336,107.295276118331,128.694097713816,263.102645661311,80.7121032732838,169.070496179991,158.559612294436,176.808647859452
"SH3TC1",56.1286079430929,80.1163227390467,131.624565852704,139.265744968077,90.7793604760714,78.6074618298197,77.7709331669181,92.4114401524967,102.652024802801,107.940821174104,94.452652541953
"SPHK1",57.8856683213649,93.8207780774353,86.2436102579045,104.184089530452,52.89950213306,81.3988584524728,75.3429018045319,43.4269725918259,66.8826228838038,18.9215984114902,54.6385737145268
"TIPIN",14.4904179996703,23.6222072354364,18.1032504388754,30.6492240781495,21.8289639757647,26.0798588100065,5.91832884234845,20.5045440107986,3.48729377011664,4.37009031145438,14.5745710094773
"SEMA4A",198.09856844565,149.094893815719,136.774609768119,138.081112162279,110.776194073773,92.7850984888844,129.751066934646,171.100445589278,154.917325505957,89.1395467171612,121.028328247162
"ELP5",37.7286992739958,96.7784413508604,70.2317128548343,86.7131183562716,52.9806964179871,103.237972013195,62.2404075798416,87.921614330705,50.3170440689993,136.774609768119,67.9082053923031
