"","GSM77362","GSM77364","GSM77366","GSM77368","GSM77370","GSM77372","GSM77374","GSM77376","GSM77378","GSM77363","GSM77365","GSM77367","GSM77369","GSM77371","GSM77373","GSM77375","GSM77377","GSM77379"
"SP7",34.3083777588392,25.1562951491003,33.7340158832474,26.63361575442,30.132437620256,24.4730981284755,28.375213901791,26.6394630696988,30.8307007643101,23.6399319232212,27.9349527670114,30.4086513921665,31.2133081830847,35.6847518070046,27.5391260632461,26.5952143487094,33.446044174386,28.3099930641474
"LEAP2",144.05667890301,148.788225312314,148.703799678529,138.340239728394,114.462841919027,152.895146327445,117.838422607284,146.804153612661,130.480744878959,89.7319914182316,90.3609833903237,127.722609750728,97.7789082351765,98.63678262223,109.818478218536,72.5581181231589,101.839101535609,99.0268183953879
"CTCFL",22.8761143598206,21.3136136342519,20.6034367443203,20.2448756718844,20.3503923733702,19.0346463694292,19.4873934244242,19.5297600997256,19.1688360881872,19.8534542795705,21.7825760988161,19.3597054318915,20.7213197417752,18.5943138902059,23.313914090992,22.3678993605414,18.0469178337734,22.1073923446427
"TVP23C",149.232047133318,174.314011248398,149.186706197501,173.991821256234,148.424801287722,149.314829978408,143.690642943448,196.551280348279,202.010508883008,206.26441574756,148.164727352929,173.876845837393,173.487355805812,199.249842566209,146.29426471975,181.385108867472,217.804559286906,199.034849128131
"GAPT",18.9990106431677,16.6083447012008,18.6670936696558,18.6061859613643,20.2111121801594,15.7026214271341,16.7633248566611,22.0350774260705,25.0155724187347,17.671018216184,20.1648338526901,21.4724926387735,42.813350884351,22.3984849279259,17.522386737418,21.3894576470573,28.2771338026421,22.4234615836454
"CCDC185",24.4836092160763,26.9115807974097,24.7624421294955,25.7013889523416,22.2763997622686,24.3219497502153,26.2096611725258,25.3155450214014,23.2893761735667,41.9690099569805,28.3825650729147,30.0468163350791,28.3739549765021,22.4631958535817,24.6653126440072,20.7818674044127,28.3668979979402,19.5164113368778
"TSSK3",230.915489459225,195.142499680065,196.010025902914,236.64763234534,213.299552924341,222.996299490808,206.928011863665,233.935218528611,237.270171120773,219.483122871604,189.70586398707,232.278675102,259.598222687852,270.665566916135,221.528781148489,242.990701785657,284.714587958652,234.483085779079
"WFDC6",36.3004907262895,50.7207838314002,47.0082658976888,42.660256892481,35.6578486499097,42.9448968876145,42.6487512366503,40.1400061550567,40.1400061550567,43.1936696204993,45.1589528092654,54.3282746968951,50.4068794475095,38.8542088530667,47.9370237361191,47.959781620806,50.803327241559,50.8885195195062
"TMEM266",28.9340236628455,27.0441064928224,29.3341434373201,26.5656657687135,21.852512012588,27.7481277694754,27.6738245322601,25.4872795119235,24.1289313825121,26.6777366973378,27.8663643744367,33.589042326507,35.3770901397716,43.0381368788219,27.5534871556449,28.2095622505032,32.5653263384667,28.770585739926
"CALML6",32.9037894850372,28.7152280476684,28.4132418317101,30.2647624529088,27.168056680742,28.0100568396594,28.696835463869,28.0690250362005,34.615119846618,32.3646333742978,29.6073233983725,30.9395847572444,34.5491160134804,38.3740739973253,24.0763489212871,29.0770294731431,33.555619589779,26.3213002027731
"NLRP5",55.6254963707415,48.2196869430555,68.804742371149,63.1598609182933,47.1404331919338,57.3737164813601,54.4237458806982,47.7350229794541,52.9371591462698,57.4622300772977,57.8285554035394,66.6689093234196,51.4839814454806,70.3948982084591,55.7553468783713,58.0942082347585,66.1588133491806,88.4539920042443
"CLEC4F",89.4943836858399,77.5062425452577,76.3669432364128,80.9929192116812,78.8989155201657,70.1778561047221,78.0058168552706,85.7673950309542,89.2158001951009,79.5991438906089,66.7479440076967,84.6421254265439,123.860004373106,90.4095459427217,74.4321327790869,111.250515507036,92.0171732032416,90.7159850599358
"CALR3",17.4449432072845,17.2156288369726,21.5897168649648,16.7769002836551,14.9439962584367,17.1116835022099,15.5206490575685,15.7012698376265,16.9385113150017,20.1651529969467,14.6398512832981,19.0295500740213,16.1974517764022,21.5509883161943,16.3025972073716,18.5710207470214,20.0440961857969,18.4471181792614
"C10orf25",97.6480324905377,91.3620723012019,109.79034688752,76.5170805596519,81.0504726668831,103.681451820557,75.0499002048289,80.9663418776858,79.5413324175475,89.8580596985852,96.7107049465263,125.819598170206,109.911239588363,100.089856883487,97.9055126300618,91.702729220505,96.9934798688858,97.082185623286
"ZNF485",10.1762326465868,11.5069903080884,13.3203379726805,9.50478490852058,9.54316762437646,8.81088939226584,10.2511678842472,10.3750993740758,11.7812163057249,10.4467731340434,10.4024334490615,11.1929648855915,11.4232032457154,11.4807832960032,9.94453736747856,9.58592876469138,10.4956531346239,9.03379355981865
