"","GSM175776","GSM175777","GSM175778","GSM175779","GSM175780","GSM175781","GSM175782","GSM175783","GSM175784","GSM175785","GSM175766","GSM175767","GSM175768","GSM175769","GSM175770","GSM175771","GSM175772","GSM175773","GSM175774","GSM175775"
"H1FX",281.14008,335.5734,237.62982,205.00156,299.3323,215.04755,252.63522,338.86768,331.879,308.67233,189.87927,183.25269,231.04106,260.65448,197.7316,268.34326,231.34964,273.07355,235.51437,179.89352
"HLA-F",1039.0034,834.7548,1146.9968,1073.5256,707.9562,1149.7413,1048.1205,995.198,1126.1809,640.8404,1089.1606,984.30597,832.5613,1442.2898,1058.2563,1004.3976,1132.6537,906.8275,932.0288,1000.5257
"CKM",39.453667,38.6733,27.882097,33.48125,30.1465,28.519854,22.39488,36.946957,26.898855,32.94155,23.222427,33.04738,37.42627,30.487213,33.18785,29.847769,26.825281,37.139416,32.961063,36.093334
"CACNA2D2",67.52061,55.103275,67.92657,42.999603,56.758423,77.68185,59.065422,62.24325,80.483444,65.426865,59.351025,88.04974,97.85582,68.18491,56.158722,75.63277,92.44287,83.129105,90.939095,56.118515
"ZW10",186.09439,143.3299,183.65578,177.80356,149.11415,140.4266,140.62663,221.26955,195.0018,211.3744,142.55043,101.94263,104.82,114.26651,123.549255,135.35258,143.36565,147.32549,127.60931,155.8262
"HSD17B2",24.209715,19.371761,202.60521,262.26114,145.27716,18.058012,30.15506,30.808214,23.04791,121.83534,15.733323,16.950445,16.214685,18.706297,32.908833,22.127302,20.482866,18.474464,15.611023,19.56021
"FGD1",165.4741,148.02296,130.7348,105.0384,146.4793,174.85359,144.40631,142.76927,153.08772,167.96881,137.95514,130.98283,140.52669,109.38047,140.18147,110.27221,148.58508,126.12971,140.71712,125.667694
"TTK",146.5581,99.91993,64.403854,16.962902,78.13056,63.755352,97.94096,108.87094,103.6122,110.95991,24.256525,11.022223,12.770791,13.942886,14.122216,13.454451,15.18908,16.134308,14.520919,27.501865
"ENDOG",210.77666,154.68576,262.9466,106.18052,181.52556,88.37999,227.6503,238.58536,189.53218,304.85266,83.42387,91.87984,68.097244,64.20329,73.703,57.06886,99.551216,104.01485,85.11965,130.0856
"MELK",414.3474,249.78983,220.35962,99.23131,189.78441,150.70828,165.90944,337.5456,317.30362,294.75482,101.24861,47.555286,36.683334,46.650284,55.35966,50.08512,40.697075,40.457367,48.80232,125.38655
