"","GSM82381","GSM82382","GSM82383","GSM82384","GSM82385","GSM82386","GSM82387","GSM82388","GSM82389","GSM82390","GSM82391","GSM82392"
"CCL7",58.6162896336728,56.6402974778821,59.7869061254392,53.5258470961303,52.3887764128685,57.1013857197132,52.7962319963411,49.9500541286723,64.0407321803039,55.3927603634063,66.4076907173181,59.6146586244815
"HIST1H4D",58.2500457030392,57.5337879250946,60.7494625358437,53.6861785628385,52.9393589053759,62.3715896953015,55.6665958435824,55.3309802268477,71.3202769498056,63.7430165493033,65.8437995404777,55.2646415775178
"ZNF442",40.5011898091513,39.8771899379684,40.8260735273151,38.458161338107,35.6502377194354,38.8469604655475,32.0997644386489,37.2404911119853,41.2849867812084,38.2006308133545,41.2920531733455,33.3523793930973
"ZBP1",62.1578343555817,56.1407558016382,66.6303355853955,60.0457000495218,62.5291444249994,46.092014510488,59.8512197556445,60.6283304759739,60.856755839831,60.6263445641914,56.5698332703338,68.3643315968339
"CFHR5",41.0028765960434,41.9420355333377,39.3064287467662,36.6468085510549,38.1991914304086,39.0856700262577,31.6554090419651,33.9913252024908,37.0219651582372,32.7088577376747,43.7300886823898,35.4115672078763
"AIRE",109.705796926371,138.007416220031,130.925089131071,150.018273788021,143.15146468158,162.603594409061,140.149866200129,142.094128978669,129.324213006871,135.662555194731,112.085270860897,127.830936684672
"VOPP1",488.334997196294,564.517719429633,450.405012188727,528.659700205682,540.767802397548,485.724125643803,546.563796881652,595.660419885108,532.25641853665,823.296779641953,559.614023192545,495.201627150267
"NDEL1",289.104717566222,380.790692596875,317.648538444472,406.722684530129,337.953506116634,312.976973839769,328.375419082007,317.419215801829,329.665912872553,376.402840683685,359.787860654774,364.528686869
"CCDC130",302.476978575089,336.940566995864,356.417749335023,406.743896462911,333.377502010115,315.423233917828,326.074949251433,336.785892528545,362.71412357052,349.636047926275,414.57701736294,378.216894699881
"COL21A1",957.473889990803,983.634608328998,817.436829953686,1347.9375453988,980.36455648446,1445.21755205566,1761.34998551427,1082.06236225796,1157.42033867909,1864.93222332414,1183.81616947579,1016.38288926267
"SEMA6C",422.874346942393,354.422453545616,442.751798132616,443.873052156616,455.725729136678,323.173921233965,393.86574421974,359.479773281261,391.21189403742,337.944108846782,413.032105106646,525.825357743144
"URM1",505.288541502655,532.34347955771,573.090702617437,548.882058485094,583.534319094852,544.408616931499,533.632133923539,589.87685810235,611.010261684471,521.83593094483,593.798258177496,628.799390972401
"PSD",96.1070524489277,82.344476978651,98.172335696895,85.0080769706528,95.2871025945014,82.6440650378891,77.4484178639441,91.0628927102485,104.475053930277,76.8867602137793,87.6940799840187,98.9109804089485
"TSC22D4",316.33694870005,265.354292551025,359.348314799696,326.089268914509,292.25196307291,319.45709778958,350.121470294615,338.38339723722,320.359126685678,284.13890160766,339.45472363033,344.020057140172
"GIPR",45.3386665467995,43.7646344379314,49.9931858905366,44.1270514589098,49.6749162779295,41.0552856390184,38.8644909314506,42.1549080934825,51.9564184934866,39.1507447319108,48.3976093777698,48.5174918402166
"LINC00597",75.2013643029399,93.4473707130016,77.24097531776,84.6524247344897,61.3975032987884,73.4827753129477,80.3399583564368,71.5788056627342,75.6469009814221,81.4025916469005,84.5799783965398,58.0827540976506
"PABPC3",1384.2172709325,1569.82606321762,1150.6399207134,1283.61972332414,1374.86656306877,1450.70001065239,1741.16972332414,1860.85509553095,1342.73463467434,1712.51907132826,1779.19575022118,1539.93478296301
"LAS1L",305.069351727962,336.223026250523,319.875819940039,287.882786230237,236.321712136468,309.957311844289,287.057171646218,261.828860687667,304.890687428903,294.585127739056,335.160523449913,244.572390626665
"KIR2DS3",229.728151436787,196.690788556658,212.010235675982,230.323677329698,196.965702091366,219.538397654863,165.092506022505,188.142318163341,208.84262237567,201.319065366237,187.600124295935,216.428536493176
"CYP2C18",107.817116564252,81.1645438884503,85.796955937027,92.7097918606216,86.568709176774,79.2723069401388,65.8204915507932,75.6973124788845,88.5116860729757,86.7482421348446,91.738067184356,95.5266729260508
"TBXAS1",86.4626636486766,83.6441863069581,80.8381505232091,95.6578999565672,84.8831781751904,71.6514317709864,73.1548138942955,73.2239668424602,89.0682340370496,94.1839536068091,85.3867950347606,72.3554023841139
"PSG2",69.1317170450839,68.6819421222279,66.0604164868799,71.5612135578899,63.4838697346548,76.1875686391026,49.545629455486,61.6968395014405,68.1117424405303,59.9344019417576,71.4748016367283,61.8381906679647
"ZNF205-AS1",76.886574228611,73.8722510095332,66.8218601064914,74.1485606586689,72.6561968383399,75.0624587926238,65.1790315640098,65.0305930076135,75.7359008721947,70.6115754496987,60.0431523876103,75.1091625446173
"ZNF611",291.052633806381,276.713850379175,328.51623659566,314.978758602609,249.918954072324,294.907265075683,291.463023952123,278.971354721464,296.467725413676,271.143450304347,300.644904293119,283.928696250271
"GAST",230.38230798479,191.633114744402,209.070695960026,188.805760662122,218.343707663779,200.14492663893,160.717633271197,162.120791352387,192.195957930028,170.922800486696,184.97644415431,190.810464495328
"DRC3",87.8588330821038,89.4809606998497,89.2759229009982,89.4551596835216,104.276714879911,88.3904152558467,92.8080193410857,86.217570690554,96.0827162475233,83.8070296912791,92.652717025615,88.2765380768217
"CPVL",878.556937191295,381.338472898511,811.742925312439,733.404567162379,1242.95761002115,911.506693628153,1289.40580457965,917.074025894974,517.490375117358,581.148581469574,883.35302281488,728.136803463499
"MYH4",95.746092987031,94.4806123891671,101.444501763641,94.9310877419546,91.3174488249707,96.2513758239652,110.095345499528,91.9274472041896,87.4801174208118,94.8591199874272,93.6881716321671,96.8602101643056
"DDX21",809.982847470927,813.877531508405,852.5818257392,959.45203209485,1058.62688187795,836.306843072956,850.071603667909,812.520188883225,903.732223324137,822.898889990803,882.455979861126,700.854871122297
"FAT2",78.1516836321704,80.8130402789951,79.5990600283496,83.9767763138429,76.7951073137356,78.020163767739,61.9611022857863,73.4972482485536,77.898951516356,72.3364944177986,74.3568023699155,81.0331824115122
"EPPK1",118.408231296544,111.245350168825,112.950147264988,115.681498432314,117.993269780541,124.522126118189,100.548953433104,100.28642795299,127.100118728431,121.082271349036,112.276133786586,107.389839462326
"PRSS16",76.5655506539492,72.9008755010773,77.8859987210792,71.9957078862202,75.4894495363304,86.7256854397299,55.7225090668932,63.3886256586208,85.1803615549063,79.7404196051134,76.4297464157042,73.1533425985034
"CHIT1",123.822064701456,116.82881547642,134.601594188515,142.495514052994,122.565745117609,146.087744472855,107.310966517703,116.036213985545,130.413103308656,132.200632236285,123.657091537582,124.754538881607
"PTGER3",32.817229241366,35.2050168484744,34.2713980516552,31.4409131276353,33.5104919110354,34.9206266777738,28.2855511947499,27.9070157274484,31.1836612218847,32.279007797166,31.2785572423063,31.6408148165208
"IFNB1",100.529549928741,102.552530701119,106.76045859768,102.606281968885,103.65768100108,115.409664433748,80.6595874359889,91.6597098526079,106.542668726091,97.7123488797511,107.34193327419,82.2189578676947
"DUX1",494.233246294062,464.369723324203,517.395606342048,453.050920070847,452.096393911026,407.859080809276,389.030262041867,423.883424515006,508.728121833642,379.807223572027,461.728420305631,477.018292979608
"KIR2DL3",164.26119301522,154.212464049642,152.743432786615,181.910600796982,158.714273702061,174.018807230031,137.158066067816,144.667757882198,156.726613516608,139.319134191048,146.917437875485,154.40403235588
"HIST1H4H",39.6831087201134,37.1002024561248,41.3489871018911,42.3437761400907,75.969006086419,43.5066371247994,44.7452956619772,52.2227649437417,43.9580139657796,46.7173632345325,39.8098885769863,55.173158921038
"IFNA14",124.213673599692,103.811521792057,100.37663526897,100.538075116225,92.0988467828739,136.555127011332,88.946632982839,98.5915992540032,116.160004619328,98.9832493266082,106.103062244165,85.873864610331
"TACR3",96.7843920215949,91.9194096195452,106.568448198041,84.6800018757,99.0784968913382,112.543308163299,79.3106158599141,80.4726697528674,96.2929448300691,95.0515637382628,103.220283970416,89.584320693958
"LIPE",394.390693051247,542.41555665747,387.070113712368,300.732639604518,419.350890195328,441.032932129472,394.865556720635,335.054640923238,385.829384799192,272.176679107363,423.823174072364,433.099142557635
"KRT9",209.093817382194,205.382074435271,194.547939131178,195.980668321048,188.72388115913,234.625437292475,181.115942921488,185.683995092818,193.54304792629,196.67064808979,197.010058270977,182.39368526161
"MYO7A",316.584147470289,325.489982440295,276.753697939963,323.071321735659,285.150192748966,296.868131982278,228.811551736275,236.83160679123,273.525119602145,291.232412017452,261.235000036361,268.479779910227
"LSR",85.7588237890963,103.689994607913,108.107412079905,92.9778659711079,93.7176427510544,85.644754628547,92.4623595088308,74.9742607868839,92.424249412061,91.673985743654,107.819302803192,86.9424365428311
"PSG4",358.70588791758,297.214948140853,330.888752242095,304.323084312496,253.686334559741,341.112129628805,226.08750232679,250.021252929301,328.398572166006,298.18700646655,317.78532221511,250.321141293762
"IL9",49.7265663471087,48.5591050394481,53.4603086303724,47.7960116219962,50.7450781931976,53.054338753911,46.6038135813442,45.5363548748725,50.4750115877836,44.7366006215043,55.4215716831302,47.3359768414503
"TTN",16407.0857825623,14891.1128663828,14905.6822233241,17182.5405566575,17055.9085463376,14827.6408867312,16298.3816159482,15306.7446479417,13081.5621556397,14566.9445042804,13845.6960226465,14211.7615395613
"KIR2DS1",479.300090127981,423.941996673108,445.750832533631,447.236414437583,440.233689723976,490.461476220195,352.033070945326,395.652149533898,453.095709843529,403.676518985594,423.582223328231,417.762221934692
"KIR2DS5",198.119031671876,211.9876125769,197.116616072733,177.538012467632,175.33783163071,198.377248019559,173.530836237802,178.180909452558,212.647838673082,190.377791681159,210.426147901275,179.561516391144
"CAV3",918.6834926545,790.107223324136,878.038648032027,867.895097250982,876.132223324137,727.090739947012,809.406719355779,840.137226342735,686.493615396313,661.257223324137,691.518905468506,912.979661292504
"PCDHA9",163.805461318692,131.074677773002,168.734334963748,130.736722720779,169.095310305003,138.479368013178,113.034337456373,135.489209626852,186.489261496266,138.741790450271,151.524072181688,132.435244239355
"MYH13",186.433503705301,177.856371339618,203.458610587075,197.166852397192,183.472971721228,199.080002595755,186.700299540188,168.292173461598,197.287184860203,175.12857671261,189.281144286902,209.896437985051
