"","GSM505297","GSM505298","GSM505299","GSM505300","GSM505301","GSM505302","GSM505332","GSM505618","GSM505308","GSM505312","GSM505313","GSM505314","GSM505606","GSM505607","GSM505617","GSM505623"
"ZNF485",2.99726603665707,2.36611158160462,2.54307504959728,2.86817819080253,2.83213224593377,3.42364970295334,2.40300390658966,2.91648414359352,2.51245969420233,3.12812810544589,3.09736570960235,2.99726603665707,3.22929258064835,3.37668692002917,3.02546889910173,3.24152111384861
"MFSD6L",3.99181954987926,4.70094108240185,4.51291170031215,4.12699264266019,4.58080875316294,4.706315606773,5.45585201910451,4.61616230601722,4.4524885348679,4.92004237805241,4.02559066618527,4.04107400188585,5.14971397731269,4.59461410255172,4.91448031305294,4.8395877562021
"ESX1",1.98522222150824,2.40452131115193,1.88307925531479,2.16404753849078,2.16888589093774,1.95340138594016,1.95337153921907,2.21291622793834,1.82469860883309,2.89728481908104,2.12289327976564,1.96155136457485,1.90972520942621,1.9047216797484,1.91467190192833,1.99285906921933
"FAM167A-AS1",3.07311784477383,3.78674455029146,2.43112025832385,2.88800925460065,2.45943136035983,2.51451921372495,2.91717953521876,2.56175056002747,2.32887639471748,2.65571859194076,3.44908622900886,2.91300401792809,2.39874291531845,3.09446408360125,2.67163390016267,2.64989790354625
"DNAJC5G",8.99302229006783,8.65591033219119,9.7903876335639,9.586770851687,12.7539441832229,7.20906388106276,9.78207748006809,8.96738748703805,9.5337888117092,13.679067996967,11.7629790090581,10.2227783265243,8.3825091428711,13.46944567129,10.0279950585867,7.93463755853271
"MBD3L2",6.04406254923497,5.08464911348336,5.64010038497405,5.51355866103108,5.04416890531284,5.87419874942492,4.81376824301305,6.27211857086875,5.43599195046369,4.41035270650924,5.24410695088571,5.93668208299526,5.03219482579506,5.08464911348336,6.21664972229231,5.54556974458137
"MBD3L1",2.31984177007622,2.50168038540657,2.08842217181329,2.11107323132078,2.49256830702054,2.19594543689998,2.26924793075001,3.27545277931326,2.11121754183606,2.95525539756483,2.31386012932454,2.31915101107668,2.40223299822596,2.67294444727165,1.97017620061969,2.18292813418311
"FAM46D",2.06495012057107,2.13041783936553,2.28962331516194,2.06340744458693,2.29692718257819,1.88110902831789,2.52377851204817,2.5456605935684,2.18005677746422,2.20397493256267,2.29304359626733,2.52603820397435,2.09080914825665,2.121530415592,2.20804198950102,2.08409044421595
"SERPINB11",2.76614636879962,2.80377706514034,1.98496097051738,3.15658777469569,2.51827584961148,2.45700670446206,2.48726189138712,2.5474970924607,2.22324061253891,2.53387184615742,2.91268364244205,3.13130399321857,2.28203002123954,4.1932992027093,1.76281762818882,2.39457151979953
"ABHD11",2.46556590665946,3.78037440879037,3.58379138502966,3.66535851214719,4.39454471433354,4.85277530233302,3.54999823379837,3.29143143158729,4.27968322494524,2.48947080103369,3.56537363443276,2.86125473774923,3.06118914959126,2.66772775610608,4.38563582796355,3.41371569613757
"GAMT",28.9388202621044,39.492940534989,35.5670422949554,38.9113225289146,35.6117720583111,38.6282073572222,34.4982873911051,43.563914644865,32.8682613197119,43.7608298912353,34.8545390257259,32.1848207359926,30.4013936015852,50.0478354679114,28.8568822599162,47.7584497080711
"RAPH1",2.04518534013221,2.32366018238235,2.02194956472913,2.11128724021406,2.11222962940687,1.94865634754554,1.93293130901778,2.1540683321534,2.08214795789481,2.15215340070626,2.13040019882619,2.42983117427893,2.10590830171191,2.03602244569099,2.14709425128765,2.08994709896385
"BNC1",1.51636646934953,2.21825285117404,1.71716611716023,1.72158123135738,2.00910684238273,1.8389226543272,1.97144131726224,2.00800130287324,1.49838975673879,1.86584671945738,1.88273776604087,1.92146877578784,1.61041818557135,2.03602244569099,1.89689535028996,1.8583761862293
