"","GSM85215","GSM85216","GSM85217","GSM85218","GSM85219","GSM85220","GSM85221","GSM85222","GSM85223","GSM85224","GSM85225","GSM85226","GSM85227","GSM85228"
"ZNF273",69.5915124128859,68.4267917285677,70.1212709174345,111.006416513402,94.4899113033684,211.324209483728,60.0460899501432,53.5533075792018,63.6657482337962,22.906288644163,99.8891437165838,48.2605542015095,52.4499803005059,60.3084485935066
"ANO3",10.1873608966113,16.3082603776198,7.78985655967337,7.4413339014797,12.5132825092812,9.48185439852848,12.7114393705162,8.5051161226415,7.00533453431536,7.15759054296005,6.43392732953829,6.48049240531421,10.7850604089126,7.89518015099224
"LOC100288570",63.8571646671821,57.32017780816,51.99721673771,32.9687802292336,54.6065581117582,49.1565302906099,50.847087503396,63.0379918940828,52.4120402358825,53.8485050582547,49.0298083490452,69.0338431081393,74.4441763809186,51.7957791492201
"CADM4",26.1437030884416,16.056602936107,26.3440521464028,13.3081157223714,18.1762910323679,15.5731658890129,16.8650645458319,25.1624204876298,14.8254522168648,24.3018762097038,19.7415586440006,26.5992266060939,16.831901262879,20.335275134625
"SLC8A2",17.1540161785596,20.0413975415487,18.8639768435209,15.2558724335059,17.6723117085084,20.9943397983109,27.4770691301419,27.0086402037964,21.9515283588385,19.9438539233819,17.7196755895005,21.9852539612224,25.3800229500499,18.874608998979
"TNN",14.6109563309841,31.2276225379704,10.1592858134006,14.3346950956909,15.699977809655,25.0800990794423,17.3029344415692,11.3084887127609,10.6130983366096,9.12669212270796,7.41798465279705,8.24315524291549,19.7009402215899,6.85251585893099
"OGG1",42.7113021881483,39.2801563600402,39.9752781265746,29.0343127211908,36.7784906205075,31.8858979982946,31.1349828924064,44.6110106609562,33.6153576104132,42.7537561879867,40.15123751578,39.6414293503059,46.4754951722301,46.3946170664534
"TRAF3IP3",10.037105507615,13.087099544141,11.0783387027263,9.53399778445554,12.4398814542645,10.572021812177,12.0230986583558,11.535575938097,9.84851826670737,12.3340528579024,10.6318197964124,13.9043001898107,10.0610844008624,12.4498630705632
"TRPC2",14.4988647621858,10.861022065276,14.5092900253733,9.00716076263045,10.8360187364565,10.0536609519833,9.05627281924746,16.2623007980825,8.01222970616054,13.2403257601425,10.603650720861,9.94673602385853,9.64082168373931,11.9557691490109
"ZNF749",15.407447864562,15.6501674292101,10.9592257726019,13.8164199989821,12.5569228698609,11.3563085787283,13.1809414777091,17.8670107872028,9.44836093159511,13.1514331917978,13.7691602284919,12.7469136406176,15.5654571865493,13.3303063598967
"CDC42BPA",51.3404208949782,32.812750163655,34.8017266376312,24.5476634802567,43.1473030794676,26.4075660600289,26.9870848685308,50.6064278642231,22.8658204776818,30.3361536508975,25.2371823977115,30.5190120334948,24.9069740073325,53.7751335081647
"LINC02172",16.2387987093804,24.3454235968748,17.1659538895075,14.075135614992,13.7171099694388,16.9100352029345,21.7535843519131,15.9978295611292,21.2043692823802,16.2239485218818,13.3097747136981,15.8972293858388,19.495619617048,17.2973999345268
"ZNF674",5.94581155075565,5.55864455224932,5.53192250099149,6.37722983801906,6.55094752621519,6.86703477544992,6.08813899993958,6.08645094988509,6.34662506781028,5.09044782977463,6.41459968875835,6.15386920931414,6.01464861785084,6.03981722103535
"APC",36.5198630735658,22.6440160281363,21.5298057804032,30.5528131288482,33.8614859791849,30.1738028322748,36.1613427397231,21.3971392584813,28.7854418732254,19.9872479810535,35.6642065142179,30.2020928676317,32.9957337574705,27.9560880911948
"ZNF549",8.39073732638832,8.38691185181356,7.83712782260327,7.55182998349919,7.13153597789544,7.72395840480291,6.71340523089715,6.88556635123492,6.82170998517136,7.64750673999948,8.6187423613562,7.49367202779481,7.57377855610575,7.27801966801825
"MINOS1P1",131.680517607901,52.2921475894181,103.172255561712,68.4491127343379,104.345724654504,90.9951090742161,19.3079927188108,102.279617174239,157.26719653082,153.669900948249,149.245345352476,88.3909669597807,90.0528654006317,93.5693934145866
"SPATA31C2",12.1042406795377,10.5023462822346,12.0547665711591,9.95348699551206,13.6136160687059,9.00105257513658,9.20268917634908,13.8583001920853,9.66336099617185,10.7175724206665,10.7576631416228,10.6211897774584,10.6667720171657,13.1569235943674
"LUZP2",10.8371625940106,13.8535774290785,8.53054884027697,10.6387652412605,8.23313698411863,11.5364570130361,13.5654348346934,13.8380524771765,13.7802125863901,10.3487163138024,9.49973213633177,11.0753580695885,15.0185576497798,11.7962263918943
"CBARP",22.8966480397673,11.7215946420554,27.4656764627928,14.1192921529993,17.1665080899309,15.9622085807454,12.1292788735485,26.3397700225256,13.3379501688829,22.7023020652973,17.4287189809999,18.9078639219134,12.1300194817914,19.308443517048
"MYH15",18.8526178626278,15.0987787343318,14.7534067832682,15.1304146189916,15.9950504688611,16.2186417540564,13.0391211394293,23.2272944850103,14.9312973764467,17.9083207852729,14.4116045279654,11.9390901722765,12.8670497934368,15.1500687929682
"EFR3B",8.95089964348429,11.2871093416818,9.17738385004453,10.2194531107808,10.6116651706402,9.69541794752673,12.2981965915785,11.3396331562858,10.6501800038855,11.0063220668038,7.68006712684246,9.56665184330967,8.73055423404394,14.9743379370033
"MED24",12.6432337227566,12.2229480434821,13.09105987874,13.1429698054353,12.5434459325136,11.4813691325963,11.5383768493132,12.6260003501171,12.7183166722496,15.2108564118475,14.4247469057402,16.2492619573929,13.3129748019704,15.0788693104482
"BTBD18",11.4119047579478,11.2212997742039,12.5329635085222,13.5891216667953,11.783907222601,10.7858028220186,10.8186680416969,11.6823829116848,14.8135261641112,11.4002026187814,11.2698058402841,9.28135382526887,10.7356291442201,9.05969911608712
"PELP1",148.101887560825,174.985495112526,201.505110540706,112.85154701897,151.563729510124,198.519015193717,166.19243866423,180.268404912714,169.747519068252,245.766883038626,143.081960907295,162.116468448259,220.047529277077,178.157222334717
"TDRD12",18.4803427791334,42.6331486655836,16.0674150306755,18.1672782957572,15.00348770292,18.3885505115687,31.6577840871576,24.4302480488736,18.7477927898889,17.231770457024,14.4865121301879,17.1830157042364,22.8909205245661,19.257710410989
