"","GSM420149","GSM420150","GSM420151","GSM420152","GSM420145","GSM420146","GSM420147","GSM420148"
"NXPH2",9.05484588831299,45.6696891513738,12.3565612379022,8.04314127664713,22.8041082359182,11.8627174602515,12.9968497596858,10.3028550318605
"TUBE1",6.18417752359567,5.4054285148103,6.72711791782082,5.74093711212639,6.54543102676336,6.64082859062128,6.78309514818765,6.28916179131995
"CCDC110",7.67090758188609,9.20355930820766,10.4588297299719,8.35470563455894,10.9601783067168,9.2771276655726,7.962471248584,8.47827458168336
"PCSK4",73.7406840277669,61.3434361390355,76.4913192906117,94.6986396267606,67.7032778795883,76.2135627298948,77.1899915634725,90.0770987511042
"COX18",11.1376287565033,7.97711887437065,9.8833078015911,10.6697875698739,8.2764927662142,11.8627174602515,9.96765117422352,10.385231320519
"ASPDH",113.003810965338,91.5843250836584,116.682406088111,124.71210726092,93.212145207956,89.2642792098092,111.283105452682,105.690517908122
"DHRS7C",17.8493561357389,14.8259934395448,18.286196907034,18.1828128608948,16.7200589751186,15.4548158936359,19.7053748005483,22.3473593969676
"FAM19A1",120.044377613144,399.079027569563,232.252533831451,117.645293805831,223.631787145554,160.625999909562,155.968907028675,62.8188475499463
"TTLL6",31.5478795834787,25.8286867336429,31.5726740307896,31.5979746026531,30.5240835179529,28.2402849373723,33.3940531100027,39.8080517512043
"HAGLROS",10.7603410212201,11.4163035153178,9.86127098811062,9.95829894979669,8.24223726883671,9.5853163179941,10.8171136389393,14.1152852323803
"LOC100288123",11.7399786280899,10.7414519854894,12.66116191612,12.3871305318407,13.9819018829534,13.0166595792198,15.3175007198241,17.1002634190466
"C2orf92",18.3149483830809,22.3219088209601,15.8523156564125,20.3716255872535,24.0761436569049,26.9371320946143,33.3013491774429,24.2874151072751
"CMTM5",515.768959191131,308.467655775508,421.364689302881,444.678351276555,446.746675761816,317.653370965219,509.058181983096,673.838482494938
"SEPT12",90.2557017772542,78.170652171574,85.3638831592691,88.4899944500482,82.3009345596589,84.8856262701186,120.802343398584,115.230785339519
"EPB41L5",7.18542384936069,8.39875510462148,8.89574621324583,8.22919127190334,7.80733817829935,6.97786197157046,8.14482398217982,8.01297694074171
"LOC100286922",7.77693195045342,7.65701312363813,8.28984159214709,9.07309480133108,7.79752679928454,8.86185617776631,8.52283727266951,8.01298651058642
"PCDHB19P",11.8395134837558,10.7000573865732,12.7487168061024,13.2239076727975,9.00610166141682,10.3595128670832,11.3843671574424,12.2424714202356
"FREM2",42.824991682636,8.868107052562,19.5002929308332,23.1817519443588,15.0381508357281,14.5782534743163,16.0177518686294,7.57108840938769
"IL4I1",21.9952224653692,33.3563177647721,26.869918456025,27.7817988573233,27.7532691651346,24.2701563946469,19.7606098526073,29.9629627289717
"TEX38",22.8152491111008,21.0428299973807,23.8204492772103,22.9153801167768,17.7398264548463,21.2478087478075,28.8833529823296,29.611523698181
"GLTPD2",17.458018463355,19.6610572654818,15.4189820007828,18.289155611471,13.6872616810635,18.4345598060593,16.0022759692261,21.3068658165411
"SH2D5",50.6185655772938,75.7234379086013,72.1043869013687,53.4398970350734,140.521143254478,67.1054553392138,65.4615792738607,60.2247777782415
"DDX19B",44.2100127424254,33.4252060560081,32.6137215676289,39.2794768526386,47.188697214865,45.1663109990612,38.0848345980126,42.9370047387104
"NPM2",149.435599516083,226.623369823321,247.617180541317,212.67046838006,230.019764473475,210.572955573547,208.797338928368,227.945462995454
"LINC00967",14.5825837532322,12.7462550669942,11.2096652420995,12.7397370645147,10.6061972322182,10.947493977392,11.5834062123668,11.8378015540021
"CATSPER3",10.3212965513751,9.04316005376342,8.76979987471811,9.90807327464148,11.8696186635425,9.44707733937756,10.3672560446943,9.48946326462786
"C9orf131",37.4717369183946,24.2277710477849,36.6426084491832,26.764516749648,26.6557954710628,22.1433296407266,26.2001894205967,41.2150474301086
"LOC102724156",10.963245127152,12.8967281517078,13.8911250729336,12.0563645703133,13.2869166148228,13.9160284749445,16.3570065075901,10.8080315269443
"SLC35B3",14.3878797911933,12.9871295265767,13.9816199983644,14.2942840778696,19.0531326364771,14.4329948664363,15.931439127974,13.8184200469466
"SPATA8",34.2515542418279,27.8101271365519,31.9878835309692,32.0747657526741,24.9194246138477,29.4591057501031,31.3288293917053,39.2708794329948
"UNC5CL",12.6451984737098,13.9568600300363,13.1099969244782,20.8228260395457,12.8942866225271,15.0869747541467,13.7534962128512,16.6949311775724
"AP1AR",10.6237218531184,9.84355922344129,10.720979443989,11.3733639381098,9.69565732274686,10.0141660452588,9.88841180614236,11.1015485547702
"PALM3",42.8891044248751,43.3309054015218,55.4449980136788,48.8307690003825,51.9968891602454,57.9698701930362,51.0489736993706,44.1875713089061
"FGF7P3",138.142887743783,215.182063076127,111.829417750565,128.872480010992,156.929477483803,116.938857414746,161.268608617456,84.9745990877704
"OTUD1",55.4723670650586,50.3834784731323,49.2408462845924,51.2122812419757,35.315011275059,42.1021148892943,38.1311007878323,43.7099748224837
"LOC100505774",26.324920987653,22.3676617803449,24.5646295432663,26.0508104347174,24.8344260873379,25.5704781481538,29.9698030929184,33.8977166830793
"C1orf194",43.5749930761118,32.3855470077379,41.5666195241877,48.7390674035155,36.5951399823541,47.3932708172812,55.512410881184,34.4488730332794
"LINC01023",37.5050127639683,25.2391407598489,47.8287123388792,46.2087323404197,34.6059939458871,27.7690627766509,36.3947287516621,40.1317320836933
"MRLN",10.7307752132448,10.03633343571,13.1762940731753,11.4731263854864,9.04395656913714,10.7931654541745,11.1613139012714,10.0429937420962
"KCNB1",29.9388540449598,29.4662791346906,29.7690950360046,22.6287189280266,23.8230266471959,26.0959430750646,32.0822478504878,23.9862514327222
"SPACA4",28.4347240825886,26.2645098871015,27.4126830593156,27.1856823206152,21.9269694462648,19.645113446828,25.3624037698594,31.3008950816427
"FXYD4",16.2632201491264,15.3961992722441,12.8368818299554,14.1525983869249,17.3254514367472,18.0485877914712,17.9030851836052,17.9725083141826
"MIR302B",66.6024043738052,36.3279681021162,46.6711975434909,46.7758325270229,50.21930960367,41.5196191174457,45.6302268808099,45.4560376666038
"SLC47A2",15.8904557420054,17.3392407361089,14.0681759130079,12.8595358046097,16.7858100475264,16.7248014526605,15.9864266413863,23.9862514327222
"IYD",6.48260138336778,6.61355577682195,7.0105210349654,6.7375377069542,5.99088540262232,6.41513594852842,7.08697638626901,6.31968937551101
