"","GSM160404","GSM160424","GSM160427","GSM160428","GSM160429","GSM160353","GSM160358","GSM160362","GSM160391","GSM160405"
"DGCR11",132.24126383508,140.074862988499,138.769781306902,116.610092029429,106.926680164423,120.215311485281,130.355618586558,127.765505168466,123.237267891112,127.345635654738
"ACOT7",70.977371148228,89.9004521791047,89.8400788251032,89.9004521791047,89.9178974126046,100.90908059498,92.6670669692235,68.5570846075129,81.6557371673793,75.6275134293993
"VGLL1",20.1590483990957,20.2070083206788,20.1974661095136,27.5156528112038,20.6636754645504,22.3998619598459,18.5646020850467,17.9495262436906,19.3881144769442,19.8554595366418
"DTX2",115.805790616774,112.805337540772,142.337110247522,107.511318183198,92.6758008042485,125.581665914318,125.77186466508,134.525087005926,155.551110383322,103.432977471892
"LINC00563",30.6766466207041,29.7340278633363,24.3412469860292,32.8252818580244,28.3613389961822,25.4897054473531,31.158707539155,31.134146740738,26.8909678233927,31.3526328934439
"TUBGCP3",37.3259834961766,16.8867231981745,18.1589492646225,25.0011662940483,24.8597821275076,39.206576931878,46.2055173861529,25.2626020946753,32.0613761064797,29.025994925604
"KLHL35",40.8892691407944,35.0736418715582,35.5677137874927,39.6461016194974,42.4961203878673,38.3334139538125,39.102281851971,41.1920729913278,39.1879979630956,42.9449140809178
"GORASP1",704.598223742826,644.936957874726,754.216651704456,470.87715316503,636.000534313883,614.853755076369,693.085292854744,751.386212965247,709.606263564258,718.583597351574
"LINC01136",34.6177663336467,42.7366263858678,37.1089844635887,32.3369412862167,36.2284501713418,38.7990038356959,38.4526940461242,38.7315862068676,34.4183067346084,34.7107135599275
"ANKRD53",21.9998085257439,35.1338055528668,27.6403050462605,30.4012161688668,24.8196557958237,23.3095675125685,22.9542502201226,23.3863538061618,24.1669946410436,18.2633971017157
"SBNO2",111.339412831627,135.45196149198,130.305253629993,161.917683748446,125.046512774704,187.720756714373,128.613610428797,154.912137698743,170.456447180266,146.25622127598
"GSTA1",111.127191175114,94.655315807194,106.493661526029,94.1984013419898,94.3522365286009,60.6211336444278,76.6488154589517,103.434439358348,77.9138502886388,92.7869749031479
"ZNF804A",73.4231616584748,73.14212410266,45.2288426808216,37.1722658598677,29.8037577862821,55.016453964491,35.0251703763684,45.0384288388934,38.5053069210647,42.0070380626036
"OR7E2P",14.6932915409972,14.5817547362613,15.1700018133486,15.0889720976234,16.8285414526886,13.9817934283404,14.2846737439542,15.0909609202972,13.5556932926183,14.4741931102214
"INSRR",41.3406463832831,56.2385883908261,50.8704108815463,67.3792646696188,47.2059620035901,49.5637735620904,44.7294650916712,50.5611770491812,40.0129325513529,41.1899002222027
"RAB40AL",65.4167383678723,59.9182398527931,36.4089135528345,30.0041123381848,35.497339724377,173.516552351659,44.5694145941297,58.2864452811745,92.1902614018048,76.679538319345
"ALPL",28.5069408146454,35.4535126946871,40.4084877674856,27.1919757322133,39.0197176549911,33.945290341298,56.3638745453303,48.913921097505,30.1795573715432,33.5209229727229
"AJAP1",28.7961241667018,24.3481512233886,61.2142494553822,59.842838126177,39.671696123173,26.3977919707132,27.1333564676897,30.7529607439038,27.9612934601649,31.4049060142376
"DNAJC11",458.007345794314,354.7646965274,663.385895670057,315.838454924068,511.679441806842,497.479047764869,557.308340107389,608.658775229387,546.017434619028,493.663251268271
"MYH7B",23.4195493370722,21.6136300981158,22.7569336110332,46.8376364959509,33.6636116540375,20.6684957906687,20.5489259035522,22.8928073344288,21.7731419388155,20.4102838548242
"TRAV8-3",31.6315205485637,34.8143800128101,33.2335493731206,36.9743967981005,36.7642034018717,35.3327526865514,31.4816645915745,35.0339507842715,33.5163609948025,31.4652626154623
"LOC101927051",45.7393315382793,88.1741707012775,89.1612862082278,108.334996145792,84.1731284399116,69.7291765022049,62.3955107256472,51.801160121908,52.2406064103489,57.1188154168946
"NUDT7",28.718848690058,46.0672330858113,42.9711745361369,41.6134156149325,37.1021153329668,42.5908409563642,29.2327161396934,27.5667673136626,29.4223049279813,31.8299085348424
"ZNF835",60.1130061350717,41.4478580313952,48.9191928931509,61.4848480849077,48.6558662293795,34.326340721445,32.0528016615565,36.1330628869076,36.0265018818852,51.7688533256459
"CROCCP3",50.6969712829584,62.4237290427719,77.7719780994269,61.7882992594396,60.0198415238631,59.013620798049,55.6083486054312,54.5994787525475,58.5224126021398,58.8466672901705
"PICALM",269.939696384094,77.0742137317357,83.9216270998921,70.0072040164969,68.3302864569519,278.563843833201,308.009717646701,160.874684385404,192.931875388055,267.932511040401
"SCARB1",26.2956258801651,33.8680974433567,27.4392379373513,28.7025736166408,27.3521945512275,25.7063186690449,25.7745843614806,27.4756735734881,26.0748035652008,26.7361077995289
"DNAH2",40.1807299202536,46.6803694605675,40.4622241592726,40.4438358925593,39.5827275772614,40.9180837237672,42.2740989380399,46.2736298912533,39.5810117752326,39.6609133402279
"GUCA1B",65.8148533595781,98.2555337493576,79.7279410388665,87.6852447564362,83.0165812479132,85.2653218962824,79.6020849268083,75.9732854602486,76.9642767041408,76.0031456364714
"TLL2",68.456095634772,65.6959495352755,138.208621394277,48.9676769305898,75.2247002061659,47.1157289287867,169.88814517684,65.9239460729342,55.1278717368255,60.6677677623661
"HERC2P3",31.9566265302647,35.6933036396661,23.9355998017509,37.1736690350328,32.3908935230932,23.6295378214109,24.9794955773873,61.4130541681189,27.6628297202386,33.7364299630167
