"","GSM609366","GSM609367","GSM609368","GSM609369","GSM609358","GSM609359","GSM609360","GSM609361","GSM609362","GSM609363","GSM609364","GSM609365"
"F13B",12.4736474866666,14.0153521995865,12.6919233900147,13.2335719386665,15.0327046926972,11.1564658045509,13.1647504325348,13.3318000767369,15.1488928844189,11.6700981370405,12.3945343435524,11.8298086925197
"KRT12",19.9340533005538,16.3231845689184,21.5654657167616,24.1195946561863,21.4883192512918,22.819536113283,16.6739662143555,14.5332547869059,15.1139640268464,22.4855196565378,21.403339610779,22.3870545324843
"FDXR",70.3790590187514,60.8608386533075,48.2747698824564,55.8906743555135,51.6302991822446,63.1512477007505,59.2920960254774,80.2205363027341,41.7544621971538,67.2571387969235,80.8818034070929,78.064932141523
"DEFA6",74.705976264671,54.0821233456318,70.1095426239315,72.6028553485108,70.0118505854643,65.2336714608823,60.9141072476078,70.0723647044099,59.2955362047544,71.8795715330631,61.9586191270202,68.3693481845112
"PF4V1",9.57696283377325,9.35309009113714,9.18902853681835,9.7256988894665,8.85609580353276,9.2583924454878,9.21830095556805,9.64091199110506,9.36261470699588,8.4244864591586,9.24943055340471,8.51836300621682
"LALBA",19.7075054856079,24.9883855039378,40.2357584262403,33.4469707129391,23.3923221067976,36.3529118547994,23.4628346138245,24.4726419295543,28.4926627044865,35.087118344851,33.3929869996353,28.8025312429752
"IFNW1",23.5950363017787,33.7634609945307,22.426314952432,24.8363904101384,25.0578763393653,23.908774680093,27.3325727956685,29.2688653184902,25.1702107829324,22.6753985008073,24.6280976017521,22.687760373245
"ADH1A",23.1517957312658,21.0835686034587,20.9594489498102,21.905779232242,19.8313856865675,21.3296972744011,18.0453744495849,21.1269777800527,17.6662862141452,19.214506606697,21.0909916087462,23.5457610286657
"ID3",342.787708319818,484.912023872251,1051.26231815114,1175.70491125698,208.591554548314,248.220670632234,682.137095433738,368.518723084502,508.364544516326,382.810766030798,924.759816701627,1253.06113673986
"PPP1R8",535.761478782921,510.055720440418,870.96577660061,625.50636250573,305.517432116045,572.354375966086,520.428583446347,526.038940125271,431.1582283927,464.734649979047,890.955898989322,734.472918267427
"CD160",16.0446517602752,16.095282346998,21.5590280928429,19.0949504478225,14.2922397985315,18.1441187941299,17.8295818091989,16.576571652026,15.7907156625259,18.3328634111695,18.0711237294003,16.9311747814233
"SPIN2A",53.2454929809111,44.2681396517455,48.4494273622544,58.0216659310234,50.8097478683677,63.8964705012954,46.6030789434176,45.9775466129384,50.0295909306153,52.9537127316017,61.20747993957,51.1287738079642
"IL13",62.2257551395484,67.1489771599432,59.4917127266826,70.6978443825001,72.6400787721329,64.9993759509098,60.9466898123677,70.7174235586884,75.5950161471332,68.6888112093956,66.3963534283399,70.8670625379574
"POU1F1",10.4852690203773,9.93119076863258,10.1788709706305,10.3910819600877,9.42419731970608,9.81734079289276,8.87549475964839,9.75411443411247,9.17815741060153,10.6015746292087,9.48387672993993,10.5946929298067
"AVP",61.0274558670557,62.3842660756828,65.7126404403423,40.1840670986886,92.6259278432646,102.283130883941,107.957371874399,62.2404349016615,99.9770388246339,44.7502990405829,390.191374467993,66.0094824731575
"IL2",10.9763494743979,12.5894838864866,12.6919233900147,12.8384400356587,13.8616971804897,12.4539242658451,11.0498298006703,11.541135399375,12.4704016542584,11.8937636490817,11.6721379160308,13.0771032660703
"CXCL3",147.276816707682,154.104930652017,202.74548503281,305.820525102041,294.866282566326,69.0764020627143,279.667398894222,257.744545720926,1528.55935626622,220.799907423358,318.895508987097,406.722243435344
"SNCB",95.3460445387399,96.435969950056,106.929670073971,101.431161049846,90.1116411645145,87.7044525092231,91.7959362046792,98.7224503247473,98.577746084646,101.65050948905,102.599707374305,80.9334012325968
"CCL22",131.213181662133,122.084289428076,104.440585543932,115.938326321996,122.016968128982,104.060742122286,108.831600409644,116.524913201525,117.18793917964,103.146219677122,104.375710787876,114.962561582119
"UPK2",25.5103941066199,27.8435724900776,22.1135852579234,24.7914224196377,28.4738839168404,25.3982681649122,27.0264402930536,28.8170547072184,28.1952854538155,21.3192321840376,23.1112545541027,22.427270507771
"CHRNA2",110.35769585213,113.41691714963,110.584622859548,126.89090531494,114.26705298265,110.977682269175,106.441316937645,124.991238176218,133.765153747281,123.973538708442,107.291840746831,109.676716707759
"CACNA1G",9.06551197181884,9.54477067168606,9.91142758588797,9.59896949184583,9.75926186042707,9.9112297708336,10.1866394503394,10.5351413440634,9.82709310854346,9.9477260514813,10.4079664171982,9.82323817352152
"CFHR4",21.5936873247419,18.6089943808965,19.8749118004044,14.225132041849,27.9705479745557,16.9010426136374,19.1279546420025,29.9830752187066,21.6377675732868,18.9066721479601,17.9530394261334,17.4083355480427
"FLNC",90.6363005757697,95.5663482011651,91.8719503579443,106.208654727875,90.5441478997891,76.5232761381722,97.5445322279538,130.130430413245,109.075616070138,79.2650533705424,83.7528700743573,85.8299601832709
"NVL",141.74206123782,137.140314634354,67.4090286340011,81.6531412404803,146.933927612234,120.130864217185,167.13834786307,160.323260626626,137.422983912486,90.0030550636203,161.60933238909,146.058396809773
"KRT76",46.8038613527248,51.9453163403799,66.0448065897485,86.6196133830882,53.2853261315674,57.8235640374652,45.6149521312314,59.0060561288358,59.6649729016515,57.5690011538876,68.5699212875202,63.9194339426721
"GUCY2D",51.1396648279919,49.3439312098583,38.9614458939852,43.8415731872029,42.2817169537561,36.4005924104527,40.9967090482403,37.8458222316266,41.9962466823619,35.7977422743627,41.1271598254448,39.3921897712607
"S100G",18.0648673623643,17.5138121675209,25.6158644917645,23.4504387787629,18.8563138182927,18.988119522826,17.2811643514854,20.3945849635173,15.8761359232713,22.697815528977,24.6098643748161,25.4929785186122
"CD40LG",98.7551643483123,79.2402635242014,82.4819991952909,87.436659677213,94.7988433070018,105.01807857129,83.368780275857,86.0085802076908,102.997188380501,94.7471573902829,89.4974670621047,91.6419642165836
"SRY",25.9937804899609,24.4710478531698,25.9875076020779,24.0284807519243,22.7591212363848,21.5889509869038,24.1335483139889,21.6614816671244,21.201656649384,27.9464799866815,24.6238628130452,23.12486153339
"GIP",50.2483130345856,50.2176651662015,50.4576808089553,53.2648529101961,49.1527926329297,53.6474279665307,44.3618193850985,49.2772146775941,55.7127062641858,49.095948529348,54.7095137421712,47.6335911800147
"CCL17",66.8810797576859,90.6078909192967,56.1560892609289,63.7781463255099,66.8201029348092,69.3998232794759,62.2053205406065,82.3202858636706,71.4231213902934,65.5497287336558,67.262141584943,59.7548064679959
"IL12B",8.64914163641655,10.6800127556978,12.1865459020077,12.7041563867022,9.70429030837727,12.5790490109718,10.4747054382296,11.5835196788263,10.0308833880236,13.1419305403333,10.6224314176845,12.0645055546678
"IL3",21.8195435550478,18.5497678429953,19.2375780272991,19.5448165869999,24.1872934475325,30.4580230664935,21.1700552146378,21.5558478704503,29.08066408796,24.9813248292633,66.4434504872966,28.1319633542811
"KRT2",28.7007002378675,27.4872179812879,44.8209970168641,70.1742855739987,27.808826715681,56.6320489725086,24.3033769858512,29.279336826335,28.7695648530112,53.8439460798766,52.9767644556454,55.1480449608528
"SCGB1D1",12.7031005739176,13.4130876299402,16.4796577295754,17.98410434253,14.0060466240177,13.6118545838581,11.883718679546,13.9339952452919,13.480818980373,16.8418648674951,18.2596389004887,16.7115105605602
"TGM5",136.872504966255,106.914248268165,98.332616398621,127.024085378736,97.435492660947,105.853798111537,120.880803409579,118.527258072318,123.089264306006,109.322204331663,105.071145831523,113.506566463972
"CYP2F1",23.4800431886865,23.1831968407888,20.3614008624827,23.2443155032305,20.216353650731,23.0303535389622,23.7792910260504,29.2172765828978,20.7730046567279,21.2822072014812,22.1471919581671,20.4273922070442
"NUDT13",59.202384439453,66.2305988558805,47.8870229003485,52.3732489731354,63.8558623089664,57.9387393015014,61.2287942525299,65.209749337648,66.4241545949125,57.1618841217358,52.1787104655467,52.2199266109863
"ART1",123.935991206136,127.921818695813,113.39162634595,110.985708872695,120.715022278532,112.786554629921,118.084714447509,124.748930599561,146.616061164988,111.238298323389,107.430563680148,111.602547959999
"MAEA",711.403300765845,799.060565824113,566.03186372987,601.581533226521,747.076502536281,582.959762975586,517.160898943407,481.651409682126,487.9501546094,412.518959965828,612.713614016632,608.746960690418
"CST5",38.3395111805626,33.5822115571762,36.1458728254639,32.8641221066573,36.5651297431103,38.5022521462846,35.2538011585559,44.0740393990692,39.1802559741079,33.3211204220465,35.149579497598,34.2787971318939
"GRPR",94.2620515586757,75.6885471238585,94.9446116536178,101.86731885016,77.9304801458787,103.860049146825,86.0024758032231,80.9547455291757,94.5003502930494,93.534360088416,102.502714302003,86.6545556255067
"LCN1",42.8476728364071,42.9661112093522,37.5916800568518,37.7417387536034,41.1046209618864,41.2916234925978,48.6252233592529,50.2498129187173,42.1938856247283,26.9271031459871,35.917488866897,36.6318315537642
"IFNA8",10.3071447393534,9.81392225124204,10.9534475106604,11.4627541482381,11.3324191783889,10.7731762461192,9.77393258680761,10.572906843789,9.73431855838057,10.602455421806,10.9473120967478,10.6229351777325
"ZP2",37.9475047819606,31.7513384806773,39.4375572967577,44.774094788849,38.0868149251524,46.6623895966802,38.0347917805308,41.3268248429271,35.2582540587739,39.35364127327,45.4676238400109,35.243060355351
"RFPL1",10.260197309819,9.9589660776167,10.4438757129425,9.82778833407526,9.13425596972434,9.37646726806368,9.40061606345767,9.57170173781665,9.61623343475785,9.19922927427399,10.150471826844,9.26435516124506
"KRT13",16.5543552452172,19.447522541239,22.2691943121163,21.5302066253444,15.3391879383468,22.1897136638489,18.9438712122192,20.4276635555504,20.7172120632017,22.1988335000748,22.5509763413635,18.1485041111826
"RFPL3",55.2381125735782,60.9984005122243,89.2460236320657,79.7175767071401,48.3947804177198,76.7827857328035,40.0845402440949,54.0145692079902,66.2474218867316,79.6740060456717,88.9731022490347,71.9585057703918
"OCM2",27.3548854450649,16.6241803081942,20.0780869217315,24.9358324124496,21.8502826486379,20.1290763549596,21.8728845589913,19.302042536147,26.9126943548775,19.5891328461593,20.6275120420536,25.4482846653164
"CSN2",25.3873287719074,20.6862005423342,26.9041327050945,30.3010405884765,23.8650915056941,29.401811626399,21.1252227423148,27.9476031993262,26.3888083012716,27.585691359584,26.3311887724515,30.211995541929
"IL5",20.052244844383,26.1878716841837,18.5514501846968,20.4457443695454,20.7542839526242,22.450830220764,23.8660440804356,20.7830233173001,22.0098759811656,19.5568054881754,20.91909936335,23.2115130632132
"CCL27",17.7169217426831,17.777862231708,18.6211771424393,21.3715002699581,19.1467571606107,18.9187085097852,16.877717269758,21.6614816671244,21.4987610028192,19.1263489739379,16.7499882915923,16.0494148101604
"CAPN11",63.1929107635668,56.2011698139734,64.3460191101834,56.9090631666461,66.2092020939578,70.5459900067922,68.3091496154058,100.928588129288,67.1453109793665,180.819331607781,62.3173865848031,57.0365431506311
"IFNA4",20.6621880314052,21.3215765498864,20.4869836320837,24.6818719498796,20.6692353540324,23.9872392371252,19.4580775584302,20.8327327885725,22.9319201259215,23.9991036822587,26.5393795317551,20.2056462671257
"NEUROG3",53.6341725791716,55.2299206673335,39.9360322711313,42.838014232065,43.5901290279024,44.6332428810579,50.0265817449233,55.122365327364,45.4204719624172,41.1873512026535,44.5632920947206,48.2881955072343
"GLG1",425.718957992573,448.382355226523,425.718957992573,352.193237288078,612.181345819601,497.280680196849,420.823434394389,327.632724335499,433.235947359789,365.441638223068,329.316504796432,275.184671271704
"ACRV1",39.6643882462272,33.4261415471499,54.5235528642137,38.6880851803025,40.0298016502075,42.440530949637,32.5254513500877,38.1414327989124,34.1889215682609,46.3713175007924,42.7301283089168,33.7364774437326
"GLRA1",19.8268712078803,22.803686677704,25.5578470661251,26.930616490449,20.8447990919621,25.1114015098922,20.8993550558769,21.1855981069523,23.9073021771719,28.1671474686368,25.8188237866715,18.6141697523813
"DPT",69.7038736968333,57.2244612412783,40.1380492821062,49.9591690746378,53.4241983589509,39.5135051784956,48.803935877678,63.0658371141586,54.7013316757298,48.5647823876382,47.4936551391328,41.6967445399984
"AMPD3",229.799701219545,261.945906759704,203.846202565257,196.771317719649,333.19011832527,222.397909988941,342.638255302184,177.941857453649,280.166684821147,219.359876079607,272.183162322865,246.36655979622
"GML",36.3619038107551,37.6773560107204,45.2654039813405,43.5371008780579,41.7892894969035,43.4348153125471,37.9755670222673,44.2054354331426,44.0153952845929,42.1461669549044,45.3602251768524,40.2197141770749
"OPRPN",28.5081538266316,21.9344032706092,29.4516784618438,33.9463542267418,24.3431257775435,29.5460378383128,24.6047810613361,25.7068873010624,28.7903333861934,28.1596803804684,27.6114755860299,28.4666193698491
"FOXI1",28.3294527337967,25.2292727641776,27.5694098829232,25.456795937876,21.6712235095066,27.9485924572935,28.0940046214387,37.060408589642,27.5568202194186,25.7254490471935,23.226060349709,25.1205356098132
"TBC1D29",50.797326260559,50.5502405049053,61.2799890772725,49.4946462602963,67.2351505792915,65.4912028242475,55.0938593967235,64.8654907295701,57.5208603707794,64.5837911346197,52.1787104655467,60.0988427551975
"ARHGEF16",137.856627327969,138.372209424246,142.868925101846,170.374466470851,146.549410142045,132.760026658511,124.417989631496,141.9407470192,138.034847363897,165.739757476697,131.794067686067,123.055790545183
"SP110",258.560982669977,244.1816861993,255.658587972465,365.637219334307,339.085954602126,290.456790831938,292.297819771529,449.19132600933,240.982204443924,262.369792126975,347.843261131356,241.129361254896
"HCK",124.68946396834,95.1725811857907,44.9309745795122,43.42908240806,55.9779649764407,60.8450573253804,78.5651751429611,48.4041054694713,255.148227108643,209.646611210437,68.0609379898841,96.9459967254234
"ZNF157",10.307822690758,10.0398601268348,10.4852690203773,9.54684518990643,10.6817696561748,9.95190935482316,8.96989298982721,11.3190860768897,11.0800704166847,9.86708737295186,9.70743960896972,10.3620980143315
"HMGA2",44.9752693977082,40.9795426725729,48.3514119986453,63.1728509731579,77.3481962236794,56.8862076864528,56.2523996142869,31.923626393111,95.2490161746811,81.7517682720875,70.0968276496775,72.2469979485827
"PROZ",72.8082451917879,79.5100055692816,85.3585757398745,94.12577210406,102.973242290527,71.3966828068227,65.8311579302457,72.1228427416763,67.0357023545871,83.044213733239,73.975174731605,78.9791314415556
"GRM6",39.9296613450957,34.6759969225356,96.0611738473159,98.7184031633768,37.9455739390393,74.0079067789827,32.5955956704918,38.9353146195212,48.1277833948684,69.0567730481019,80.2074103448459,66.3279801122042
"OPN1SW",29.1026872688814,28.8561307672995,30.8796796744809,31.5834709800408,26.3856286186327,27.7053911055125,31.9676221077909,30.7313178460712,33.6421225985245,33.5663928799598,33.1614981409739,30.0641832618057
"MADCAM1",79.9381844701055,80.2351226697707,63.4373584966031,74.7383965956664,91.322638025425,75.0659197749453,75.3401603117989,78.9566862950715,85.1044528078481,83.6893060721175,78.090388836564,74.4343709214806
"IL1RL2",55.1448734647362,53.780020685333,50.2023927661677,52.4710619666058,46.2354856358126,53.2170371991128,47.3145253025616,64.0067812683847,55.9282919508521,50.9552464296123,54.9377205149485,49.0297280013843
"MYBPC3",191.281219265684,160.902940018441,130.413841210178,150.758933499849,200.942037321744,145.66818899805,136.633404455829,195.976278504826,185.088806544184,158.156654188996,131.555023461353,127.640084801286
"GRK1",99.620618777872,99.345661076026,62.5565009609919,64.0256989819653,94.3230443456279,76.3463696035781,73.2824106474424,86.503767216644,84.3507846069164,75.7246399340926,68.7956130427543,77.4436657913075
