"","GSM368649","GSM368650","GSM368651","GSM368652","GSM368653","GSM368654","GSM368655","GSM368656","GSM368657","GSM368658","GSM368659","GSM368660","GSM368639","GSM368640","GSM368641","GSM368642","GSM368643","GSM368644","GSM368645","GSM368646","GSM368648"
"SP7",49.1110558151895,63.0255529467203,44.3528559103486,50.4012212190155,52.9224122972104,46.3134030239174,47.8886551864064,58.3026569049727,50.9482049757719,48.4893247585398,48.042722959806,45.5736652518663,48.2654156828491,46.8827339660971,47.1043180392566,49.2199007629644,58.8872788283366,48.1410925931559,42.1297496056396,56.0869712571458,46.2563887778023
"PRSS33",352.891428816862,269.693668905399,261.153492725946,254.312773036919,254.594284103021,289.654349324332,347.388799106962,373.392785716229,277.185891175825,260.553036152557,381.105862199964,270.642835028153,267.231103580153,314.552218538871,249.852136014908,243.422329415574,261.772930900888,253.887707351656,252.131654147699,227.650215180084,236.017484342429
"LEAP2",574.945047925263,292.505344811424,219.230470269665,165.081407454786,200.773995781701,402.585510282098,590.392044895068,375.213268739167,391.650299777176,510.751127081405,341.967033553314,679.273089751515,287.763500622762,1506.96827884046,110.38983269979,384.552958857084,1122.60844001264,130.214759906316,130.874551739969,163.934233821556,200.601424350348
"CTCFL",25.9876056404383,29.9561847444826,23.5689297251978,24.7396519352688,24.5778371307209,24.6953520887562,27.457059021945,28.1796521922033,24.6953520887562,24.3873285971596,24.2729148852336,24.4959972590252,26.8165400993038,24.7243406595096,24.8241806249766,24.5463986609313,27.7822344823923,25.6808464302009,21.1558851994376,22.3404619144347,21.7608380449674
"TVP23C",296.644400683805,270.304058199523,279.596502184631,268.300137830115,265.140802199709,267.5790064216,283.527489568584,258.166267164792,266.829940890005,211.366656356446,258.166267164792,208.533798980473,228.997164374156,230.696606772076,236.707038674071,258.992997912898,282.128244601943,255.147425596035,219.206893514573,258.166267164792,226.822648872494
"GAPT",32.3781597078106,23.5737656669059,28.4150951072182,42.0666433426279,32.8432424599242,24.0769938822956,30.0656517537471,37.3638284016956,32.5343354411681,25.5757004531122,31.1707931936162,29.9878301665415,104.375979699692,72.1915829660447,30.8496179823681,113.581582541272,159.289609277729,70.0914961949795,57.8914527211489,76.9135736525041,32.1581976813352
"CCDC185",48.4244782226263,64.2539516048865,65.3013684218628,51.4504422912996,54.5953887197868,56.5343943938898,51.0744289671817,79.5774550209531,55.944323157643,61.5863681621259,67.8430276550741,52.6390134333242,77.04553255518,63.4928081424362,59.3082137274362,52.6704638078532,56.6281387616556,67.7737858525063,41.911197562644,44.4668835504555,43.7670538545367
"TSSK3",385.600577904668,419.364207359846,392.939206560248,365.981530288096,371.016643180348,354.971193387397,368.133928531406,345.954186683501,361.13284675764,356.913980242261,463.549335357991,343.572787626542,362.821626484141,375.734761301838,361.906201059434,372.279766368756,365.981530288096,324.077977974183,343.472712096007,365.981530288096,352.517592341851
"WFDC6",80.4347597906854,79.1511088797563,76.6894772372038,72.8313504541169,78.4889961892017,82.1133406919988,95.0529328442166,87.2893658607015,82.3178985435121,76.0710847516227,73.4452226103502,74.9190901046012,91.2089889112586,92.83725803775,88.3296913813937,74.7989715681834,78.9183618557132,92.9388743872245,80.4347597906854,71.2072522137521,86.1068967735731
"TMEM266",82.865090494511,67.1760321415467,116.153000857457,74.360370297752,73.2726864193447,79.7000863892151,90.2993215204913,100.263357871166,74.7736615651522,99.2098709063561,91.7662032223336,83.8512230071776,106.942820102543,72.821351978788,69.6950241558425,82.7524682318834,91.9086604769817,71.1949635306911,56.069612564851,60.1708498744072,53.8812192163548
"CALML6",74.6268120169795,88.0767788019165,71.0952334492792,67.008945971136,65.8889339629021,74.8828959099082,80.345748315747,93.2735312284016,75.1189608910876,88.1543679402603,82.7090886361538,62.3791579381782,81.36667556399,78.4525664971049,75.059216715391,64.3364897351262,75.7703761215841,76.9317362432379,70.2482446734952,73.5976950774533,73.212672773095
"NLRP5",95.9404554165414,92.0260941525158,85.28542463204,96.720878913173,84.1748491706066,99.124430998627,120.515839668224,114.463252987824,114.788131847047,96.8957206156298,106.217177363149,90.1444473246125,96.720878913173,103.386782863783,94.0734250157109,110.648341762873,103.573215176737,87.6176876720841,94.5761235648912,97.1693566707253,81.2108011643488
"CLEC4F",137.161002138605,156.367880886451,142.835093830308,156.775684712741,144.817857732711,134.95242187443,148.719866908486,148.842871643089,137.043444990297,112.058041068823,135.247129665348,133.702461984941,197.618851485481,146.752661517318,144.672903915535,153.280920539261,146.077711837825,143.393558441722,120.888620485997,151.165409544069,134.445432281562
"CALR3",26.9329254240728,29.5402895015597,29.8825739108187,26.4392072518458,28.9762160719263,30.1032684140226,28.5224558286207,36.1426638505647,28.9536124304632,30.2514225699575,32.3255926837677,29.5402895015597,29.5917291114715,30.6899248724317,32.9359966025763,30.5304906938145,30.8499047798056,38.4625541307425,28.9965461717068,26.3582609411948,26.5664821667538
"C10orf25",127.42757979069,119.150530925108,105.759447400901,116.928158730199,117.209840735057,107.34405092237,142.07649869766,137.855020288416,125.867087968216,111.727871491794,91.980309254344,122.382835018687,108.560164300487,119.132138433804,126.718974246449,126.794777359004,126.333720434873,89.7969382878869,73.6396286807575,80.7558367962311,106.134588883113
"ZNF485",14.2583513873145,13.1783293329158,14.4961721241339,14.5273450658741,13.6745049209907,14.8581713972548,14.5395541296379,14.3007533712475,14.5001670429346,14.7281209902501,13.3797095867857,14.2482806422061,16.4587974398892,16.4489044783926,14.7281209902501,14.3656727424562,16.663834943131,15.7448203139088,14.7281209902501,24.1213124356138,43.3703838104085
"MFSD6L",99.7860137848716,133.190178620131,127.479467735913,114.296629193028,114.979176265336,120.037719229913,108.465189007985,96.6592874104305,99.0046483725103,98.6155275579337,119.067486142409,104.540204622678,104.234787708378,108.465189007985,115.431984126455,107.43038791246,96.9581776418684,118.129021127961,112.381750294345,105.359820012827,92.1186099068197
"GPR182",54.8367450502422,63.3249423398034,66.5814648658846,72.5223977604715,52.8280626282943,61.5482071177662,67.8563037429107,62.9036090348351,65.6072285920405,66.9266622765732,63.6665948799068,72.2171100636,60.9815057445854,56.9748688904003,59.7564871397536,59.0440093262616,53.9655818863877,63.5478067566672,47.1719187948901,49.0161761590679,42.7509147245115
